2005-10-14 | Bull | 21.24 / 9.6% | HEAD 2% | TAIL 0% | B/ATR 3.0
2006-12-06 | Bull | 23.9 / 4.4% | HEAD 0% | TAIL 0% | B/ATR 1.8
2007-03-15 | Bull | 24.37 / 4.5% | HEAD 0% | TAIL 0% | B/ATR 1.6
2007-07-30 | Bull | 25.25 / 4.7% | HEAD 0% | TAIL 0% | B/ATR 1.5
2008-03-24 | Bull | 18.29 / 7.3% | HEAD 9% | TAIL 0% | B/ATR 1.5
2008-11-24 | Bull | 10.87 / 15.3% | HEAD 5% | TAIL 3% | B/ATR 1.8
2008-11-26 | Bull | 12.0 / 14.3% | HEAD 0% | TAIL 13% | B/ATR 1.8
2009-04-09 | Bull | 13.98 / 10.0% | HEAD 0% | TAIL 0% | B/ATR 1.6
2010-09-17 | Bull | 26.2 / 5.9% | HEAD 0% | TAIL 6% | B/ATR 2.5
2012-11-16 | Bull | 21.76 / 6.3% | HEAD 2% | TAIL 0% | B/ATR 2.1
2013-01-02 | Bull | 22.56 / 4.2% | HEAD 0% | TAIL 15% | B/ATR 1.5
2013-04-05 | Bull | 25.37 / 5.7% | HEAD 5% | TAIL 0% | B/ATR 2.3
2013-05-07 | Bull | 26.75 / 6.1% | HEAD 16% | TAIL 0% | B/ATR 2.5
2013-08-13 | Bull | 23.83 / 6.9% | HEAD 3% | TAIL 19% | B/ATR 2.5
2014-08-25 | Bull | 25.61 / 3.1% | HEAD 12% | TAIL 6% | B/ATR 1.9
2014-10-16 | Bull | 25.25 / 4.0% | HEAD 8% | TAIL 0% | B/ATR 2.4
2015-01-26 | Bull | 28.05 / 2.5% | HEAD 5% | TAIL 9% | B/ATR 1.6
2015-02-19 | Bull | 28.52 / 2.6% | HEAD 4% | TAIL 7% | B/ATR 1.6
2016-03-24 | Bull | 24.42 / 5.9% | HEAD 0% | TAIL 0% | B/ATR 1.9
2017-08-18 | Bull | 6.43 / 11.6% | HEAD 18% | TAIL 0% | B/ATR 1.6
