2000-01-03|NIU|H/Body 1.93 |T/Body 0.35 |CHG_PCT nan |CHG/ATR nan |B/CHG nan |B/ATR nan |V/LONG nan |V/SHORT nan |V/PREV nan |O 20.2 |H 23.1 |L 19.8 |C 21.2 |V 88 Thousand
2000-01-04|RED|H/Body 0.71 |T/Body 0.61 |CHG_PCT -3.8 |CHG/ATR nan |B/CHG -0.77 |B/ATR nan |V/LONG nan |V/SHORT nan |V/PREV 0.4 |O 21.0 |H 21.4 |L 20.0 |C 20.4 |V 33 Thousand
2000-01-05|RED|H/Body 1.71 |T/Body 8.00 |CHG_PCT -0.3 |CHG/ATR nan |B/CHG -1.00 |B/ATR nan |V/LONG nan |V/SHORT nan |V/PREV 5.5 |O 20.4 |H 20.5 |L 19.8 |C 20.3 |V 180 Thousand
2000-01-06|RED|H/Body 0.32 |T/Body 1.36 |CHG_PCT -2.1 |CHG/ATR nan |B/CHG -0.65 |B/ATR nan |V/LONG nan |V/SHORT nan |V/PREV 0.1 |O 20.2 |H 20.2 |L 19.5 |C 19.9 |V 22 Thousand
2000-01-07|NIU|H/Body 1.46 |T/Body 11.54 |CHG_PCT 1.6 |CHG/ATR nan |B/CHG 0.42 |B/ATR nan |V/LONG nan |V/SHORT nan |V/PREV 3.2 |O 20.1 |H 20.4 |L 18.6 |C 20.2 |V 70 Thousand
2000-01-10|RED|H/Body 37.00 |T/Body 25.00 |CHG_PCT -1.5 |CHG/ATR nan |B/CHG -0.03 |B/ATR nan |V/LONG nan |V/SHORT 0.4 |V/PREV 0.5 |O 19.9 |H 20.2 |L 19.6 |C 19.9 |V 34 Thousand
2000-01-11|NIU|H/Body 2.85 |T/Body 0.92 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG nan |V/SHORT 0.3 |V/PREV 0.5 |O 19.8 |H 20.2 |L 19.6 |C 19.9 |V 18 Thousand
2000-01-12|RED|H/Body 0.59 |T/Body 0.00 |CHG_PCT -4.4 |CHG/ATR nan |B/CHG -0.72 |B/ATR nan |V/LONG nan |V/SHORT 0.5 |V/PREV 1.8 |O 19.6 |H 20.0 |L 19.0 |C 19.0 |V 33 Thousand
2000-01-13|RED|H/Body 62.00 |T/Body 0.00 |CHG_PCT -0.6 |CHG/ATR nan |B/CHG -0.08 |B/ATR nan |V/LONG nan |V/SHORT 0.9 |V/PREV 0.9 |O 18.9 |H 19.5 |L 18.9 |C 18.9 |V 31 Thousand
2000-01-14|RED|H/Body 1.52 |T/Body 0.48 |CHG_PCT 0.6 |CHG/ATR nan |B/CHG 2.08 |B/ATR nan |V/LONG nan |V/SHORT 1.2 |V/PREV 1.4 |O 19.2 |H 19.6 |L 18.9 |C 19.0 |V 43 Thousand
2000-01-18|NIU|H/Body 0.07 |T/Body 0.03 |CHG_PCT 61.8 |CHG/ATR nan |B/CHG 1.01 |B/ATR nan |V/LONG nan |V/SHORT 9.4 |V/PREV 7.0 |O 18.9 |H 31.6 |L 18.6 |C 30.8 |V 301 Thousand
2000-01-19|RED|H/Body 0.01 |T/Body 0.00 |CHG_PCT -32.1 |CHG/ATR nan |B/CHG -0.53 |B/ATR nan |V/LONG nan |V/SHORT 14.2 |V/PREV 4.0 |O 26.1 |H 26.2 |L 20.9 |C 20.9 |V 1 Million
2000-01-20|NIU|H/Body 2.63 |T/Body 1.97 |CHG_PCT 2.7 |CHG/ATR nan |B/CHG 0.68 |B/ATR nan |V/LONG nan |V/SHORT 0.9 |V/PREV 0.3 |O 21.1 |H 22.4 |L 20.3 |C 21.4 |V 304 Thousand
2000-01-21|RED|H/Body 0.30 |T/Body 5.60 |CHG_PCT -0.6 |CHG/ATR nan |B/CHG -0.77 |B/ATR nan |V/LONG nan |V/SHORT 0.5 |V/PREV 0.6 |O 21.4 |H 21.4 |L 20.8 |C 21.3 |V 172 Thousand
2000-01-24|RED|H/Body 0.00 |T/Body 1.47 |CHG_PCT -2.3 |CHG/ATR nan |B/CHG -0.76 |B/ATR nan |V/LONG nan |V/SHORT 0.2 |V/PREV 0.4 |O 21.2 |H 21.2 |L 20.2 |C 20.8 |V 76 Thousand
2000-01-25|NIU|H/Body 0.00 |T/Body 0.78 |CHG_PCT 6.9 |CHG/ATR nan |B/CHG 0.83 |B/ATR nan |V/LONG nan |V/SHORT 0.2 |V/PREV 1.0 |O 21.1 |H 22.2 |L 20.1 |C 22.2 |V 78 Thousand
2000-01-26|RED|H/Body 0.78 |T/Body 0.00 |CHG_PCT -3.6 |CHG/ATR nan |B/CHG -1.00 |B/ATR nan |V/LONG nan |V/SHORT 0.2 |V/PREV 1.1 |O 22.2 |H 22.9 |L 21.4 |C 21.4 |V 86 Thousand
2000-01-27|NIU|H/Body 0.34 |T/Body 0.45 |CHG_PCT 2.9 |CHG/ATR nan |B/CHG 0.90 |B/ATR nan |V/LONG nan |V/SHORT 0.4 |V/PREV 0.7 |O 21.5 |H 22.2 |L 21.2 |C 22.1 |V 61 Thousand
2000-01-28|NIU|H/Body 1.02 |T/Body 0.00 |CHG_PCT -1.1 |CHG/ATR nan |B/CHG -1.72 |B/ATR nan |V/LONG nan |V/SHORT 0.7 |V/PREV 1.1 |O 21.4 |H 22.2 |L 21.4 |C 21.8 |V 64 Thousand
2000-01-31|RED|H/Body 0.12 |T/Body 0.69 |CHG_PCT -6.6 |CHG/ATR nan |B/CHG -1.09 |B/ATR nan |V/LONG nan |V/SHORT 0.8 |V/PREV 0.9 |O 21.9 |H 22.1 |L 19.3 |C 20.4 |V 61 Thousand
