2001-01-02 | Bull | 0.05 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2001-01-03 | Bull | 0.05 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2001-01-04 | Bull | 0.04 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2001-01-05 | Bear | 0.04 / -20.0% | HEAD 0% | TAIL 0% | B/ATR nan
2001-01-08 | Bull | 0.05 / 25.0% | HEAD 0% | TAIL 0% | B/ATR nan
2001-01-09 | Bear | 0.038 / -5.0% | HEAD 0% | TAIL 0% | B/ATR nan
2001-01-10 | Bull | 0.038 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2001-01-11 | Bull | 0.044 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2001-01-12 | Bull | 0.045 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2001-01-16 | Bull | 0.045 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2001-01-17 | Bull | 0.04 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2001-01-18 | Bull | 0.04 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2001-01-19 | Bull | 0.08 / 105.1% | HEAD 0% | TAIL 0% | B/ATR nan
2001-01-22 | Bear | 0.07 / -12.5% | HEAD 0% | TAIL 0% | B/ATR nan
2001-01-23 | Bull | 0.07 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2001-01-24 | Bull | 0.09 / 28.6% | HEAD 0% | TAIL 0% | B/ATR nan
2001-01-25 | Bear | 0.075 / -16.7% | HEAD 0% | TAIL 20% | B/ATR nan
2001-01-26 | Bear | 0.085 / -4.5% | HEAD 70% | TAIL 50% | B/ATR nan
2001-01-29 | Bear | 0.07 / -17.6% | HEAD 0% | TAIL 0% | B/ATR nan
2001-01-30 | Bull | 0.065 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2001-01-31 | Bull | 0.065 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2001-02-01 | Bull | 0.065 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2001-02-02 | Bull | 0.065 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2001-02-05 | Bull | 0.065 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2001-02-06 | Bull | 0.065 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2001-02-07 | Bull | 0.065 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2001-02-08 | Bull | 0.065 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2001-02-09 | Bear | 0.06 / -7.7% | HEAD 0% | TAIL 0% | B/ATR nan
2001-02-12 | Bull | 0.06 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2001-02-13 | Bull | 0.06 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2001-02-14 | Bull | 0.07 / 16.7% | HEAD 0% | TAIL 0% | B/ATR nan
2001-02-15 | Bull | 0.055 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2001-02-16 | Bear | 0.051 / -27.1% | HEAD 0% | TAIL 0% | B/ATR nan
2001-02-20 | Bull | 0.051 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2001-02-21 | Bull | 0.051 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2001-02-22 | Bull | 0.051 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2001-02-23 | Bull | 0.053 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2001-02-26 | Bull | 0.07 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2001-02-27 | Bull | 0.053 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
