2001-07-19 | Bull | 0.07 / 37.3% | HEAD 0% | TAIL 0% | B/ATR 2.3
2001-10-15 | Bull | 0.08 / 60.0% | HEAD 0% | TAIL 0% | B/ATR 3.6
2002-01-07 | Bull | 0.035 / 52.2% | HEAD 0% | TAIL 0% | B/ATR 1.6
2002-01-24 | Bull | 0.7 / 40.0% | HEAD 0% | TAIL 0% | B/ATR 22.8
2002-01-28 | Bull | 0.5 / 11.1% | HEAD 0% | TAIL 0% | B/ATR 4.9
2002-02-05 | Bull | 0.51 / 24.4% | HEAD 0% | TAIL 0% | B/ATR 6.5
2002-02-25 | Bull | 0.45 / 12.5% | HEAD 0% | TAIL 0% | B/ATR 1.9
2002-02-26 | Bull | 0.5 / 42.9% | HEAD 0% | TAIL 0% | B/ATR 5.4
2002-04-10 | Bull | 0.39 / 21.9% | HEAD 14% | TAIL 0% | B/ATR 1.7
2002-04-19 | Bull | 0.48 / 50.0% | HEAD 0% | TAIL 0% | B/ATR 3.8
2002-05-08 | Bull | 0.4 / 25.0% | HEAD 0% | TAIL 0% | B/ATR 1.9
2002-06-28 | Bull | 0.21 / 50.0% | HEAD 0% | TAIL 0% | B/ATR 1.6
2002-07-01 | Bull | 0.2 / 53.8% | HEAD 0% | TAIL 0% | B/ATR 1.6
2003-01-10 | Bull | 0.09 / 50.0% | HEAD 0% | TAIL 0% | B/ATR 1.9
2003-01-13 | Bull | 0.07 / 55.6% | HEAD 0% | TAIL 0% | B/ATR 1.6
2003-03-06 | Bull | 0.07 / 40.0% | HEAD 0% | TAIL 0% | B/ATR 1.6
2003-03-11 | Bull | 0.07 / 40.0% | HEAD 0% | TAIL 0% | B/ATR 1.6
2003-05-08 | Bull | 0.5117 / 77.0% | HEAD 0% | TAIL 0% | B/ATR 18.7
2003-08-06 | Bull | 0.35 / 29.6% | HEAD 0% | TAIL 0% | B/ATR 1.6
2003-08-08 | Bull | 0.46 / 31.4% | HEAD 0% | TAIL 0% | B/ATR 2.2
2003-09-10 | Bull | 0.37 / 32.1% | HEAD 0% | TAIL 0% | B/ATR 1.7
2003-09-11 | Bull | 0.36 / 28.6% | HEAD 0% | TAIL 0% | B/ATR 1.5
2004-03-23 | Bull | 0.18 / 50.0% | HEAD 0% | TAIL 0% | B/ATR 1.7
2004-11-22 | Bull | 0.07 / 75.0% | HEAD 0% | TAIL 0% | B/ATR 2.2
2004-12-09 | Bull | 0.09 / 50.0% | HEAD 0% | TAIL 0% | B/ATR 2.4
2004-12-14 | Bull | 0.1 / 33.3% | HEAD 0% | TAIL 0% | B/ATR 2.0
2004-12-29 | Bull | 0.1 / 42.9% | HEAD 0% | TAIL 0% | B/ATR 2.5
2005-01-19 | Bull | 0.09 / 28.6% | HEAD 0% | TAIL 0% | B/ATR 1.8
2005-01-20 | Bull | 0.09 / 28.6% | HEAD 0% | TAIL 0% | B/ATR 1.8
2006-01-05 | Bull | 0.08 / 60.0% | HEAD 0% | TAIL 0% | B/ATR 3.1
2007-08-07 | Bull | 0.087 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 1.5
2007-08-08 | Bull | 0.087 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 1.5
2007-08-10 | Bull | 0.085 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 1.5
2007-08-13 | Bull | 0.085 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 1.6
2007-08-14 | Bull | 0.085 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 1.6
2007-08-15 | Bull | 0.085 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 1.6
2007-08-17 | Bull | 0.08 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 1.6
2007-08-20 | Bull | 0.09 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 1.6
2007-08-21 | Bull | 0.09 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 1.6
2007-08-23 | Bull | 0.08 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 1.7
2007-08-24 | Bull | 0.08 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 1.7
2007-08-28 | Bull | 0.06 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 1.7
2007-08-29 | Bull | 0.06 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 1.7
2007-09-04 | Bull | 0.065 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 1.7
2007-09-06 | Bull | 0.08 / 14.3% | HEAD 0% | TAIL 0% | B/ATR 1.7
2007-09-07 | Bull | 0.085 / 6.3% | HEAD 0% | TAIL 0% | B/ATR 1.7
2007-09-10 | Bull | 0.09 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 1.7
2007-09-11 | Bull | 0.09 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 1.7
2007-09-12 | Bull | 0.09 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 1.7
2007-09-14 | Bull | 0.08 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 1.8
2007-09-17 | Bull | 0.08 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 1.8
2007-09-18 | Bull | 0.08 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 1.8
2007-09-19 | Bull | 0.08 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 1.8
2007-09-20 | Bull | 0.08 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 1.8
2007-09-21 | Bull | 0.08 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 1.8
2007-09-24 | Bull | 0.09 / 12.5% | HEAD 0% | TAIL 0% | B/ATR 1.8
2007-09-25 | Bull | 0.09 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 1.8
2007-09-26 | Bull | 0.09 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 1.8
2007-09-27 | Bull | 0.09 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 1.8
2007-09-28 | Bull | 0.09 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 1.8
2007-10-03 | Bull | 0.07 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 1.9
2007-10-04 | Bull | 0.07 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 1.9
2007-10-05 | Bull | 0.075 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 1.9
2007-10-08 | Bull | 0.08 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 1.9
2007-10-09 | Bull | 0.08 / 6.7% | HEAD 0% | TAIL 0% | B/ATR 1.9
2007-10-10 | Bull | 0.08 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 1.9
2007-10-11 | Bull | 0.08 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 1.9
2007-10-12 | Bull | 0.08 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 1.9
2007-10-15 | Bull | 0.08 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 1.9
2007-10-16 | Bull | 0.08 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 1.9
2007-10-17 | Bull | 0.08 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 1.9
2007-10-18 | Bull | 0.08 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 2.0
2007-10-19 | Bull | 0.08 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 2.0
2007-10-23 | Bull | 0.081 / 1.3% | HEAD 0% | TAIL 0% | B/ATR 2.0
2007-10-24 | Bull | 0.081 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 2.0
2007-10-26 | Bull | 0.08 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 2.0
2007-10-30 | Bull | 0.08 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 2.1
2007-10-31 | Bull | 0.08 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 2.1
2007-11-01 | Bull | 0.08 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 2.1
2007-11-02 | Bull | 0.08 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 2.1
2007-11-05 | Bull | 0.081 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 2.1
2007-11-06 | Bull | 0.081 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 2.2
2007-11-07 | Bull | 0.081 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 2.2
2007-11-08 | Bull | 0.081 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 2.2
2007-11-09 | Bull | 0.081 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 2.2
2007-11-12 | Bull | 0.08 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 2.2
2007-11-14 | Bull | 0.07 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 2.3
2007-11-15 | Bull | 0.07 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 2.3
2007-11-16 | Bull | 0.07 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 2.3
2007-11-19 | Bull | 0.075 / 7.1% | HEAD 0% | TAIL 0% | B/ATR 2.3
2007-11-20 | Bull | 0.07 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 2.3
2007-11-21 | Bull | 0.08 / 14.3% | HEAD 0% | TAIL 0% | B/ATR 2.4
2007-11-23 | Bull | 0.08 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 2.4
2007-11-27 | Bull | 0.07 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 2.4
2007-11-28 | Bull | 0.07 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 2.4
2007-11-29 | Bull | 0.07 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 2.4
2007-11-30 | Bull | 0.07 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 2.5
2007-12-03 | Bull | 0.07 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 2.5
2007-12-05 | Bull | 0.07 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 2.5
2007-12-06 | Bull | 0.065 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 2.5
2007-12-07 | Bull | 0.065 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 2.5
2007-12-10 | Bull | 0.07 / 16.7% | HEAD 0% | TAIL 0% | B/ATR 2.6
2007-12-13 | Bull | 0.065 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 2.6
2007-12-14 | Bull | 0.065 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 2.6
2007-12-17 | Bull | 0.065 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 2.6
2007-12-19 | Bull | 0.06 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 2.7
2007-12-20 | Bull | 0.06 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 2.7
2007-12-21 | Bull | 0.07 / 16.7% | HEAD 0% | TAIL 0% | B/ATR 2.7
2007-12-24 | Bull | 0.07 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 2.7
2007-12-26 | Bull | 0.065 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 2.7
2008-01-03 | Bull | 0.065 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 2.8
2008-01-04 | Bull | 0.065 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 2.8
2008-01-07 | Bull | 0.065 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 2.8
2008-01-08 | Bull | 0.07 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 2.8
2008-01-09 | Bull | 0.065 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 2.8
2008-01-10 | Bull | 0.065 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 2.8
2008-01-11 | Bull | 0.065 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 2.8
2008-01-14 | Bull | 0.065 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 2.8
2008-01-15 | Bull | 0.065 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 2.8
2008-01-16 | Bull | 0.065 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 2.9
2008-01-17 | Bull | 0.065 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 2.9
2008-01-18 | Bull | 0.07 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 2.9
2008-01-22 | Bull | 0.065 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 2.9
2008-01-23 | Bull | 0.065 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 2.9
2008-01-24 | Bull | 0.07 / 7.7% | HEAD 0% | TAIL 0% | B/ATR 2.9
2008-01-28 | Bull | 0.065 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 2.9
2008-01-29 | Bull | 0.065 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 2.9
2008-01-30 | Bull | 0.065 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.0
2008-01-31 | Bull | 0.07 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.0
2008-02-01 | Bull | 0.07 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.0
2008-02-04 | Bull | 0.065 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.0
2008-02-05 | Bull | 0.065 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.0
2008-02-06 | Bull | 0.05 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.0
2008-02-07 | Bull | 0.06 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.0
2008-02-11 | Bull | 0.065 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.0
2008-02-12 | Bull | 0.065 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.0
2008-02-13 | Bull | 0.065 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.0
2008-02-14 | Bull | 0.065 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.0
2008-02-15 | Bull | 0.065 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.0
2008-02-19 | Bull | 0.06 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.0
2008-02-20 | Bull | 0.06 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.0
2008-02-21 | Bull | 0.06 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.1
2008-02-22 | Bull | 0.06 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.1
2008-02-25 | Bull | 0.06 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.1
2008-02-26 | Bull | 0.06 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.1
2008-02-27 | Bull | 0.06 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.1
2008-02-28 | Bull | 0.06 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.1
2008-02-29 | Bull | 0.06 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.1
2008-03-03 | Bull | 0.05 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.1
2008-03-04 | Bull | 0.05 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.2
2008-03-05 | Bull | 0.06 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.2
2008-03-06 | Bull | 0.06 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.2
2008-03-07 | Bull | 0.06 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.2
2008-03-10 | Bull | 0.06 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.2
2008-03-11 | Bull | 0.06 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.2
2008-03-12 | Bull | 0.065 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.2
2008-03-13 | Bull | 0.065 / 8.3% | HEAD 0% | TAIL 0% | B/ATR 3.2
2008-03-14 | Bull | 0.065 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.3
2008-03-17 | Bull | 0.065 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.3
2008-03-18 | Bull | 0.065 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.3
2008-03-19 | Bull | 0.06 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.3
2008-03-20 | Bull | 0.06 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.3
2008-03-24 | Bull | 0.06 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.3
2008-03-25 | Bull | 0.06 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.3
2008-03-26 | Bull | 0.06 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.4
2008-03-27 | Bull | 0.06 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.4
2008-03-28 | Bull | 0.06 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.4
2008-03-31 | Bull | 0.06 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.4
2008-04-02 | Bull | 0.065 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.5
2008-04-04 | Bull | 0.06 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.5
2008-04-08 | Bull | 0.057 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.5
2008-04-11 | Bull | 0.057 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.5
2008-04-14 | Bull | 0.06 / 5.3% | HEAD 0% | TAIL 0% | B/ATR 3.6
2008-04-15 | Bull | 0.06 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.6
2008-04-16 | Bull | 0.06 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.6
2008-04-17 | Bull | 0.065 / 8.3% | HEAD 0% | TAIL 0% | B/ATR 3.6
2008-04-18 | Bull | 0.06 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.6
2008-04-21 | Bull | 0.06 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.6
2008-04-22 | Bull | 0.057 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.6
2008-04-23 | Bull | 0.057 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.6
2008-04-24 | Bull | 0.06 / 5.3% | HEAD 0% | TAIL 0% | B/ATR 3.6
2008-04-25 | Bull | 0.06 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.7
2008-04-28 | Bull | 0.06 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.7
2008-04-29 | Bull | 0.06 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.7
2008-04-30 | Bull | 0.06 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.7
2008-05-01 | Bull | 0.06 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.7
2008-05-02 | Bull | 0.06 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.7
2008-05-05 | Bull | 0.06 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.8
2008-05-06 | Bull | 0.065 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.8
2008-05-07 | Bull | 0.06 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.8
2008-05-08 | Bull | 0.06 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.8
2008-05-09 | Bull | 0.06 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.8
2008-05-12 | Bull | 0.06 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.8
2008-05-13 | Bull | 0.06 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.9
2008-05-15 | Bull | 0.06 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.9
2008-05-16 | Bull | 0.06 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.9
2008-05-21 | Bull | 0.065 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 4.0
2008-05-22 | Bull | 0.07 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 4.0
2008-05-23 | Bull | 0.065 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 4.0
2008-05-28 | Bull | 0.06 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 4.0
2008-05-29 | Bull | 0.065 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 4.0
2008-06-02 | Bull | 0.065 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 4.0
2008-06-03 | Bull | 0.068 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 4.0
2008-06-04 | Bull | 0.065 / 8.3% | HEAD 0% | TAIL 0% | B/ATR 4.0
2008-06-05 | Bull | 0.06 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 4.0
2008-06-06 | Bull | 0.065 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 4.0
2008-06-11 | Bull | 0.06 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.9
2008-06-12 | Bull | 0.06 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.9
2008-06-16 | Bull | 2.0 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 2.8
