2000-01-03 | Bear | 15.88 / -0.7% | HEAD 100% | TAIL 108% | B/ATR nan
2000-01-04 | Bull | 16.06 / 1.6% | HEAD 176% | TAIL 0% | B/ATR nan
2000-01-05 | Bear | 16.0 / -0.4% | HEAD 0% | TAIL 200% | B/ATR nan
2000-01-06 | Bear | 16.0 / -1.5% | HEAD 0% | TAIL 48% | B/ATR nan
2000-01-07 | Bull | 16.31 / 1.2% | HEAD 68% | TAIL 95% | B/ATR nan
2000-01-10 | Bull | 16.62 / 1.9% | HEAD 0% | TAIL 39% | B/ATR nan
2000-01-11 | Bear | 16.69 / -5.0% | HEAD 0% | TAIL 8% | B/ATR nan
2000-01-12 | Bull | 16.19 / 0.0% | HEAD 0% | TAIL 3800% | B/ATR nan
2000-01-13 | Bear | 15.88 / -1.5% | HEAD 0% | TAIL 54% | B/ATR nan
2000-01-14 | Bull | 16.31 / 2.7% | HEAD 44% | TAIL 0% | B/ATR nan
2000-01-18 | Bull | 16.5 / 1.9% | HEAD 39% | TAIL 0% | B/ATR nan
2000-01-19 | Bear | 16.44 / -1.1% | HEAD 72% | TAIL 33% | B/ATR nan
2000-01-20 | Bear | 16.25 / -1.2% | HEAD 0% | TAIL 0% | B/ATR nan
2000-01-21 | Bull | 16.31 / 1.2% | HEAD 37% | TAIL 195% | B/ATR nan
2000-01-24 | Bull | 16.5 / 1.9% | HEAD 0% | TAIL 23% | B/ATR nan
2000-01-25 | Bull | 16.62 / 0.7% | HEAD 475% | TAIL 50% | B/ATR nan
2000-01-26 | Bear | 16.56 / -0.4% | HEAD 0% | TAIL 0% | B/ATR nan
2000-01-27 | Bull | 16.88 / 1.6% | HEAD 23% | TAIL 0% | B/ATR nan
2000-01-28 | Bear | 16.56 / -1.5% | HEAD 0% | TAIL 24% | B/ATR nan
2000-01-31 | Bear | 16.12 / -2.3% | HEAD 16% | TAIL 0% | B/ATR nan
2000-02-01 | Bear | 16.0 / -0.4% | HEAD 0% | TAIL 0% | B/ATR nan
2000-02-02 | Bull | 16.12 / 0.8% | HEAD 0% | TAIL 417% | B/ATR nan
2000-02-03 | Bear | 16.12 / -0.8% | HEAD 100% | TAIL 0% | B/ATR nan
2000-02-04 | Bear | 15.88 / -1.5% | HEAD 0% | TAIL 29% | B/ATR nan
2000-02-07 | Bull | 15.81 / 0.0% | HEAD 1300% | TAIL 1900% | B/ATR nan
2000-02-08 | Bear | 15.5 / -2.8% | HEAD 0% | TAIL 0% | B/ATR nan
2000-02-09 | Bull | 15.5 / 0.8% | HEAD 0% | TAIL 317% | B/ATR nan
2000-02-10 | Bear | 15.38 / -0.8% | HEAD 100% | TAIL 317% | B/ATR nan
2000-02-11 | Bull | 15.38 / 0.0% | HEAD 1200% | TAIL 0% | B/ATR nan
2000-02-14 | Bull | 15.31 / 2.9% | HEAD 0% | TAIL 16% | B/ATR nan
2000-02-15 | Bull | 15.88 / 2.8% | HEAD 0% | TAIL 14% | B/ATR nan
2000-02-16 | Bull | 17.5 / 11.1% | HEAD 22% | TAIL 0% | B/ATR nan
2000-02-17 | Bear | 18.5 / -2.6% | HEAD 0% | TAIL 24% | B/ATR nan
2000-02-18 | Bear | 18.56 / -0.3% | HEAD 217% | TAIL 0% | B/ATR nan
2000-02-22 | Bear | 19.25 / -3.8% | HEAD 0% | TAIL 0% | B/ATR nan
2000-02-23 | Bear | 18.5 / -4.2% | HEAD 85% | TAIL 47% | B/ATR nan
2000-02-24 | Bull | 18.88 / 2.1% | HEAD 0% | TAIL 32% | B/ATR nan
2000-02-25 | Bull | 19.06 / 5.9% | HEAD 0% | TAIL 0% | B/ATR nan
2000-02-28 | Bull | 19.94 / 4.6% | HEAD 20% | TAIL 7% | B/ATR nan
2000-02-29 | Bull | 21.5 / 7.8% | HEAD 0% | TAIL 40% | B/ATR nan
2000-03-01 | Bull | 23.25 / 8.1% | HEAD 43% | TAIL 0% | B/ATR nan
2000-03-02 | Bear | 22.69 / -1.3% | HEAD 0% | TAIL 142% | B/ATR nan
2000-03-03 | Bear | 23.56 / -1.3% | HEAD 0% | TAIL 253% | B/ATR nan
2000-03-06 | Bear | 23.0 / -1.9% | HEAD 0% | TAIL 86% | B/ATR nan
2000-03-07 | Bull | 23.0 / 0.5% | HEAD 417% | TAIL 733% | B/ATR nan
2000-03-08 | Bear | 22.5 / -3.2% | HEAD 0% | TAIL 0% | B/ATR nan
2000-03-09 | Bear | 22.5 / -0.3% | HEAD 0% | TAIL 1567% | B/ATR nan
2000-03-10 | Bull | 23.12 / 2.8% | HEAD 42% | TAIL 10% | B/ATR nan
2000-03-13 | Bull | 23.0 / 0.0% | HEAD 600% | TAIL 1200% | B/ATR nan
2000-03-14 | Bull | 23.0 / 0.0% | HEAD 600% | TAIL 600% | B/ATR nan
2000-03-15 | Bull | 23.5 / 2.2% | HEAD 0% | TAIL 12% | B/ATR nan
2000-03-16 | Bull | 25.88 / 11.3% | HEAD 5% | TAIL 0% | B/ATR nan
2000-03-17 | Bull | 26.0 / 1.5% | HEAD 263% | TAIL 213% | B/ATR nan
2000-03-20 | Bear | 25.5 / -1.0% | HEAD 76% | TAIL 176% | B/ATR nan
2000-03-21 | Bull | 25.62 / 1.5% | HEAD 0% | TAIL 68% | B/ATR nan
2000-03-22 | Bull | 26.38 / 3.0% | HEAD 16% | TAIL 0% | B/ATR nan
2000-03-23 | Bear | 26.38 / -0.5% | HEAD 0% | TAIL 217% | B/ATR nan
2000-03-24 | Bull | 26.81 / 1.9% | HEAD 138% | TAIL 50% | B/ATR nan
2000-03-27 | Bear | 27.19 / -5.2% | HEAD 17% | TAIL 13% | B/ATR nan
2000-03-28 | Bull | 27.38 / 1.6% | HEAD 14% | TAIL 14% | B/ATR nan
2000-03-29 | Bear | 27.31 / -1.1% | HEAD 0% | TAIL 19% | B/ATR nan
2000-03-30 | Bull | 27.38 / 1.2% | HEAD 75% | TAIL 137% | B/ATR nan
2000-03-31 | Bull | 27.56 / 0.0% | HEAD 2500% | TAIL 3700% | B/ATR nan
2000-04-03 | Bull | 27.5 / 0.7% | HEAD 263% | TAIL 0% | B/ATR nan
2000-04-04 | Bear | 26.25 / -3.7% | HEAD 0% | TAIL 0% | B/ATR nan
2000-04-05 | Bull | 26.62 / 1.4% | HEAD 238% | TAIL 0% | B/ATR nan
2000-04-06 | Bear | 27.0 / -0.4% | HEAD 0% | TAIL 0% | B/ATR nan
2000-04-07 | Bear | 26.81 / -0.7% | HEAD 32% | TAIL 100% | B/ATR nan
2000-04-10 | Bull | 26.81 / 1.2% | HEAD 61% | TAIL 61% | B/ATR nan
2000-04-11 | Bear | 25.94 / -3.0% | HEAD 0% | TAIL 101% | B/ATR nan
2000-04-12 | Bull | 25.5 / 0.2% | HEAD 100% | TAIL 217% | B/ATR nan
2000-04-13 | Bull | 26.38 / 3.5% | HEAD 14% | TAIL 0% | B/ATR nan
2000-04-14 | Bear | 24.62 / -5.7% | HEAD 0% | TAIL 0% | B/ATR nan
2000-04-17 | Bear | 24.0 / -2.0% | HEAD 0% | TAIL 38% | B/ATR nan
2000-04-18 | Bull | 24.25 / 1.0% | HEAD 24% | TAIL 200% | B/ATR nan
2000-04-19 | Bull | 25.75 / 6.2% | HEAD 17% | TAIL 0% | B/ATR nan
2000-04-20 | Bull | 28.25 / 9.7% | HEAD 5% | TAIL 0% | B/ATR nan
2000-04-24 | Bull | 28.81 / 2.0% | HEAD 357% | TAIL 0% | B/ATR nan
2000-04-25 | Bull | 29.81 / 3.5% | HEAD 19% | TAIL 0% | B/ATR nan
2000-04-26 | Bear | 29.5 / -1.3% | HEAD 32% | TAIL 32% | B/ATR nan
2000-04-27 | Bull | 32.0 / 8.5% | HEAD 25% | TAIL 0% | B/ATR nan
2000-04-28 | Bull | 32.81 / 2.5% | HEAD 9% | TAIL 62% | B/ATR nan
2000-05-01 | Bull | 33.06 / 1.3% | HEAD 100% | TAIL 0% | B/ATR nan
2000-05-02 | Bear | 32.44 / -1.9% | HEAD 0% | TAIL 31% | B/ATR nan
2000-05-03 | Bear | 30.5 / -5.8% | HEAD 0% | TAIL 0% | B/ATR nan
2000-05-04 | Bear | 30.12 / -0.9% | HEAD 46% | TAIL 69% | B/ATR nan
2000-05-05 | Bear | 30.0 / -0.8% | HEAD 52% | TAIL 100% | B/ATR nan
2000-05-08 | Bull | 30.75 / 1.7% | HEAD 118% | TAIL 26% | B/ATR nan
2000-05-09 | Bull | 30.75 / 0.8% | HEAD 76% | TAIL 0% | B/ATR nan
2000-05-10 | Bull | 31.56 / 2.6% | HEAD 40% | TAIL 0% | B/ATR nan
2000-05-11 | Bull | 31.62 / 1.0% | HEAD 23% | TAIL 39% | B/ATR nan
2000-05-12 | Bull | 32.25 / 1.6% | HEAD 0% | TAIL 26% | B/ATR nan
2000-05-15 | Bull | 32.5 / 1.6% | HEAD 88% | TAIL 50% | B/ATR nan
2000-05-16 | Bear | 32.88 / -0.4% | HEAD 417% | TAIL 158% | B/ATR nan
2000-05-17 | Bull | 33.25 / 1.1% | HEAD 51% | TAIL 35% | B/ATR nan
2000-05-18 | Bull | 33.31 / 2.1% | HEAD 64% | TAIL 0% | B/ATR nan
2000-05-19 | Bull | 33.44 / 0.6% | HEAD 132% | TAIL 526% | B/ATR nan
