2000-07-18 | Bull | 42.25 / 5.9% | HEAD 5% | TAIL 11% | B/ATR 2.5
2000-08-14 | Bull | 41.0 / 5.6% | HEAD 0% | TAIL 20% | B/ATR 2.1
2000-08-16 | Bull | 43.25 / 4.5% | HEAD 0% | TAIL 0% | B/ATR 1.8
2000-08-24 | Bull | 43.25 / 5.2% | HEAD 0% | TAIL 17% | B/ATR 2.0
2000-09-07 | Bull | 50.88 / 6.0% | HEAD 0% | TAIL 17% | B/ATR 2.5
2000-09-27 | Bull | 45.12 / 5.5% | HEAD 0% | TAIL 0% | B/ATR 1.8
2000-11-06 | Bull | 39.94 / 9.2% | HEAD 2% | TAIL 0% | B/ATR 2.1
2001-03-07 | Bull | 45.6 / 8.6% | HEAD 11% | TAIL 0% | B/ATR 2.3
2001-04-05 | Bull | 44.9 / 10.0% | HEAD 2% | TAIL 0% | B/ATR 2.6
2001-04-10 | Bull | 47.8 / 6.2% | HEAD 7% | TAIL 0% | B/ATR 1.8
2001-04-23 | Bull | 51.95 / 4.9% | HEAD 8% | TAIL 5% | B/ATR 1.5
2001-05-17 | Bull | 51.68 / 5.4% | HEAD 0% | TAIL 0% | B/ATR 1.5
2002-07-26 | Bull | 32.54 / 4.6% | HEAD 12% | TAIL 0% | B/ATR 1.6
2002-10-15 | Bull | 29.81 / 5.8% | HEAD 0% | TAIL 0% | B/ATR 1.9
2002-11-20 | Bull | 38.35 / 8.8% | HEAD 4% | TAIL 0% | B/ATR 3.5
2003-04-22 | Bull | 39.74 / 3.9% | HEAD 17% | TAIL 1% | B/ATR 1.8
2003-05-12 | Bull | 39.4 / 3.4% | HEAD 12% | TAIL 2% | B/ATR 1.5
2003-09-04 | Bull | 47.25 / 3.6% | HEAD 0% | TAIL 0% | B/ATR 2.0
2003-10-03 | Bull | 43.76 / 4.4% | HEAD 0% | TAIL 2% | B/ATR 2.3
2003-11-06 | Bull | 51.2 / 3.4% | HEAD 6% | TAIL 0% | B/ATR 2.1
2003-12-04 | Bull | 52.7 / 4.7% | HEAD 2% | TAIL 0% | B/ATR 2.9
2003-12-08 | Bull | 53.97 / 3.2% | HEAD 5% | TAIL 0% | B/ATR 2.0
2003-12-17 | Bull | 54.3 / 2.4% | HEAD 4% | TAIL 9% | B/ATR 1.5
2004-01-06 | Bull | 57.7 / 2.8% | HEAD 0% | TAIL 10% | B/ATR 1.8
2004-01-16 | Bull | 62.37 / 3.1% | HEAD 18% | TAIL 0% | B/ATR 2.1
2004-02-11 | Bull | 64.9 / 3.3% | HEAD 0% | TAIL 0% | B/ATR 2.2
2004-02-27 | Bull | 66.67 / 4.6% | HEAD 0% | TAIL 8% | B/ATR 2.9
2004-03-01 | Bull | 69.68 / 4.0% | HEAD 3% | TAIL 3% | B/ATR 2.6
