2011-11-03 | Bull | 32.46 / 8.2% | HEAD 1% | TAIL 19% | B/ATR 1.9
2013-02-19 | Bull | 39.28 / 5.1% | HEAD 1% | TAIL 3% | B/ATR 1.6
2013-04-29 | Bull | 54.94 / 6.1% | HEAD 2% | TAIL 18% | B/ATR 2.3
2013-05-24 | Bull | 97.08 / 4.8% | HEAD 19% | TAIL 13% | B/ATR 2.1
2013-05-28 | Bull | 110.334 / 8.6% | HEAD 5% | TAIL 14% | B/ATR 4.0
2013-07-01 | Bull | 117.179 / 7.1% | HEAD 8% | TAIL 3% | B/ATR 2.2
2013-07-17 | Bull | 120.25 / 12.9% | HEAD 10% | TAIL 15% | B/ATR 3.4
2013-08-22 | Bull | 157.1 / 5.3% | HEAD 5% | TAIL 14% | B/ATR 1.6
2013-11-04 | Bull | 175.2 / 6.2% | HEAD 2% | TAIL 8% | B/ATR 1.6
2013-12-03 | Bull | 144.7 / 9.1% | HEAD 2% | TAIL 9% | B/ATR 1.6
2014-01-14 | Bull | 161.27 / 14.8% | HEAD 4% | TAIL 18% | B/ATR 2.8
2014-03-03 | Bull | 250.56 / 5.6% | HEAD 8% | TAIL 17% | B/ATR 1.7
2014-06-16 | Bull | 224.61 / 8.6% | HEAD 5% | TAIL 3% | B/ATR 1.9
2014-10-28 | Bull | 242.77 / 5.7% | HEAD 14% | TAIL 10% | B/ATR 1.6
2015-05-07 | Bull | 236.8 / 7.1% | HEAD 4% | TAIL 5% | B/ATR 2.2
2015-08-27 | Bull | 242.99 / 5.2% | HEAD 15% | TAIL 2% | B/ATR 1.6
2016-04-05 | Bull | 255.47 / 6.2% | HEAD 7% | TAIL 3% | B/ATR 1.6
2017-01-04 | Bull | 226.99 / 5.7% | HEAD 8% | TAIL 4% | B/ATR 2.0
2017-02-13 | Bull | 280.6 / 3.6% | HEAD 2% | TAIL 2% | B/ATR 1.6
2017-03-14 | Bull | 258.0 / 4.8% | HEAD 1% | TAIL 1% | B/ATR 1.9
2017-04-03 | Bull | 298.52 / 4.1% | HEAD 4% | TAIL 20% | B/ATR 1.8
2017-05-09 | Bull | 321.26 / 3.8% | HEAD 6% | TAIL 2% | B/ATR 1.7
2018-01-08 | Bull | 336.41 / 6.5% | HEAD 3% | TAIL 2% | B/ATR 2.1
2018-03-12 | Bull | 345.51 / 5.1% | HEAD 10% | TAIL 12% | B/ATR 1.6
2018-04-04 | Bull | 286.94 / 13.5% | HEAD 4% | TAIL 2% | B/ATR 3.2
2018-04-05 | Bull | 305.72 / 5.7% | HEAD 3% | TAIL 7% | B/ATR 1.5
