2007-03-01 | Bull | 38.93 / 1.6% | HEAD 5% | TAIL 48% | B/ATR nan
2007-03-02 | Bear | 37.6 / -3.3% | HEAD 8% | TAIL 0% | B/ATR nan
2007-03-05 | Bear | 36.0 / -4.4% | HEAD 0% | TAIL 4% | B/ATR nan
2007-03-06 | Bear | 36.39 / -1.2% | HEAD 72% | TAIL 28% | B/ATR nan
2007-03-07 | Bull | 36.9 / 1.0% | HEAD 114% | TAIL 29% | B/ATR nan
2007-03-08 | Bear | 36.74 / -1.6% | HEAD 16% | TAIL 20% | B/ATR nan
2007-03-09 | Bear | 36.8 / -0.4% | HEAD 100% | TAIL 73% | B/ATR nan
2007-03-12 | Bear | 36.48 / -0.5% | HEAD 212% | TAIL 18% | B/ATR nan
2007-03-13 | Bear | 36.46 / -0.2% | HEAD 333% | TAIL 289% | B/ATR nan
2007-03-14 | Bear | 36.5 / -0.1% | HEAD 500% | TAIL 940% | B/ATR nan
2007-03-15 | Bull | 36.78 / 0.9% | HEAD 35% | TAIL 12% | B/ATR nan
2007-03-16 | Bull | 37.65 / 2.1% | HEAD 33% | TAIL 6% | B/ATR nan
2007-03-19 | Bear | 38.0 / -1.2% | HEAD 0% | TAIL 64% | B/ATR nan
2007-03-20 | Bull | 38.3 / 0.1% | HEAD 520% | TAIL 800% | B/ATR nan
2007-03-21 | Bear | 38.26 / -0.4% | HEAD 100% | TAIL 86% | B/ATR nan
2007-03-22 | Bear | 38.15 / -0.4% | HEAD 33% | TAIL 247% | B/ATR nan
2007-03-23 | Bull | 38.2 / 0.4% | HEAD 453% | TAIL 27% | B/ATR nan
2007-03-26 | Bear | 37.8 / -0.9% | HEAD 0% | TAIL 100% | B/ATR nan
2007-03-27 | Bear | 37.44 / -0.1% | HEAD 500% | TAIL 560% | B/ATR nan
2007-03-28 | Bear | 37.35 / -0.2% | HEAD 57% | TAIL 1143% | B/ATR nan
2007-03-29 | Bear | 37.05 / -1.2% | HEAD 16% | TAIL 58% | B/ATR nan
2007-03-30 | Bull | 37.47 / 1.3% | HEAD 79% | TAIL 0% | B/ATR nan
2007-04-02 | Bear | 37.05 / -0.9% | HEAD 20% | TAIL 43% | B/ATR nan
2007-04-03 | Bull | 37.22 / 0.3% | HEAD 83% | TAIL 25% | B/ATR nan
2007-04-04 | Bear | 37.1 / -0.3% | HEAD 8% | TAIL 333% | B/ATR nan
2007-04-05 | Bull | 37.0 / 0.1% | HEAD 700% | TAIL 100% | B/ATR nan
2007-04-09 | Bear | 36.95 / -0.5% | HEAD 42% | TAIL 158% | B/ATR nan
2007-04-10 | Bull | 37.35 / 0.9% | HEAD 43% | TAIL 80% | B/ATR nan
2007-04-11 | Bull | 38.04 / 1.5% | HEAD 54% | TAIL 0% | B/ATR nan
2007-04-12 | Bull | 38.65 / 1.2% | HEAD 13% | TAIL 44% | B/ATR nan
2007-04-13 | Bull | 39.32 / 1.6% | HEAD 110% | TAIL 65% | B/ATR nan
2007-04-16 | Bull | 39.45 / 0.4% | HEAD 33% | TAIL 80% | B/ATR nan
2007-04-17 | Bear | 38.69 / -1.7% | HEAD 27% | TAIL 11% | B/ATR nan
2007-04-18 | Bull | 38.76 / 0.7% | HEAD 123% | TAIL 38% | B/ATR nan
2007-04-19 | Bear | 38.53 / -0.7% | HEAD 0% | TAIL 7% | B/ATR nan
2007-04-20 | Bear | 38.55 / -0.3% | HEAD 70% | TAIL 100% | B/ATR nan
2007-04-23 | Bear | 37.87 / -1.4% | HEAD 0% | TAIL 32% | B/ATR nan
2007-04-24 | Bear | 37.3 / -0.6% | HEAD 161% | TAIL 30% | B/ATR nan
2007-04-25 | Bear | 37.19 / -0.7% | HEAD 31% | TAIL 58% | B/ATR nan
2007-04-26 | Bear | 36.77 / -0.9% | HEAD 7% | TAIL 113% | B/ATR nan
2007-04-27 | Bear | 36.52 / -0.3% | HEAD 258% | TAIL 100% | B/ATR nan
2007-04-30 | Bull | 36.82 / 0.9% | HEAD 50% | TAIL 122% | B/ATR nan
2007-05-01 | Bear | 36.22 / -1.5% | HEAD 13% | TAIL 22% | B/ATR nan
2007-05-02 | Bear | 36.95 / -0.3% | HEAD 550% | TAIL 300% | B/ATR nan
2007-05-03 | Bull | 37.86 / 2.3% | HEAD 71% | TAIL 0% | B/ATR nan
2007-05-04 | Bear | 37.78 / -0.6% | HEAD 127% | TAIL 36% | B/ATR nan
2007-05-07 | Bull | 38.0 / 0.5% | HEAD 140% | TAIL 140% | B/ATR nan
2007-05-08 | Bear | 37.35 / -1.5% | HEAD 0% | TAIL 16% | B/ATR nan
2007-05-09 | Bear | 36.98 / -1.3% | HEAD 11% | TAIL 45% | B/ATR nan
2007-05-10 | Bear | 36.85 / -0.3% | HEAD 267% | TAIL 142% | B/ATR nan
2007-05-11 | Bull | 37.07 / 0.3% | HEAD 400% | TAIL 233% | B/ATR nan
2007-05-14 | Bear | 36.68 / -1.2% | HEAD 40% | TAIL 26% | B/ATR nan
2007-05-15 | Bull | 36.92 / 0.3% | HEAD 200% | TAIL 175% | B/ATR nan
2007-05-16 | Bull | 37.59 / 0.8% | HEAD 129% | TAIL 4% | B/ATR nan
2007-05-17 | Bull | 37.66 / 0.0% | HEAD 800% | TAIL 2300% | B/ATR nan
2007-05-18 | Bull | 37.9 / 0.4% | HEAD 67% | TAIL 180% | B/ATR nan
2007-05-21 | Bear | 38.31 / -0.5% | HEAD 184% | TAIL 111% | B/ATR nan
2007-05-22 | Bull | 38.52 / 0.1% | HEAD 650% | TAIL 1050% | B/ATR nan
2007-05-23 | Bear | 38.41 / -0.0% | HEAD 2000% | TAIL 2600% | B/ATR nan
2007-05-24 | Bear | 38.24 / -0.4% | HEAD 112% | TAIL 53% | B/ATR nan
2007-05-25 | Bull | 38.55 / 0.5% | HEAD 79% | TAIL 68% | B/ATR nan
2007-05-29 | Bull | 38.78 / 0.7% | HEAD 337% | TAIL 15% | B/ATR nan
2007-05-30 | Bull | 38.85 / 0.4% | HEAD 133% | TAIL 287% | B/ATR nan
2007-05-31 | Bear | 38.41 / -1.5% | HEAD 20% | TAIL 22% | B/ATR nan
2007-06-01 | Bull | 38.68 / 1.3% | HEAD 62% | TAIL 8% | B/ATR nan
2007-06-04 | Bear | 38.45 / -0.6% | HEAD 0% | TAIL 113% | B/ATR nan
2007-06-05 | Bear | 38.25 / -0.4% | HEAD 13% | TAIL 267% | B/ATR nan
2007-06-06 | Bull | 38.14 / 0.6% | HEAD 33% | TAIL 13% | B/ATR nan
2007-06-07 | Bear | 37.68 / -0.8% | HEAD 12% | TAIL 41% | B/ATR nan
2007-06-08 | Bull | 38.13 / 1.2% | HEAD 18% | TAIL 29% | B/ATR nan
2007-06-11 | Bull | 38.25 / 0.7% | HEAD 24% | TAIL 0% | B/ATR nan
2007-06-12 | Bear | 37.62 / -1.4% | HEAD 9% | TAIL 42% | B/ATR nan
2007-06-13 | Bull | 38.07 / 0.2% | HEAD 14% | TAIL 500% | B/ATR nan
2007-06-14 | Bull | 38.19 / 0.5% | HEAD 61% | TAIL 167% | B/ATR nan
2007-06-15 | Bull | 38.61 / 0.9% | HEAD 21% | TAIL 0% | B/ATR nan
2007-06-18 | Bull | 39.1 / 0.6% | HEAD 48% | TAIL 96% | B/ATR nan
2007-06-19 | Bull | 39.12 / 0.8% | HEAD 122% | TAIL 16% | B/ATR nan
2007-06-20 | Bear | 39.3 / -1.6% | HEAD 12% | TAIL 9% | B/ATR nan
2007-06-21 | Bull | 39.62 / 0.8% | HEAD 22% | TAIL 378% | B/ATR nan
2007-06-22 | Bear | 39.5 / -0.0% | HEAD 1970% | TAIL 4400% | B/ATR nan
2007-06-25 | Bull | 39.4 / 0.5% | HEAD 70% | TAIL 80% | B/ATR nan
2007-06-26 | Bear | 39.43 / -0.2% | HEAD 0% | TAIL 229% | B/ATR nan
2007-06-27 | Bull | 39.7 / 0.6% | HEAD 0% | TAIL 58% | B/ATR nan
2007-06-28 | Bear | 39.57 / -0.1% | HEAD 100% | TAIL 450% | B/ATR nan
2007-06-29 | Bear | 39.17 / -1.0% | HEAD 34% | TAIL 39% | B/ATR nan
2007-07-02 | Bull | 39.75 / 1.5% | HEAD 65% | TAIL 19% | B/ATR nan
2007-07-03 | Bull | 40.07 / 0.2% | HEAD 0% | TAIL 257% | B/ATR nan
2007-07-05 | Bear | 40.11 / -0.4% | HEAD 112% | TAIL 131% | B/ATR nan
2007-07-06 | Bull | 40.27 / 0.4% | HEAD 59% | TAIL 159% | B/ATR nan
2007-07-09 | Bear | 40.0 / -0.9% | HEAD 6% | TAIL 19% | B/ATR nan
2007-07-10 | Bear | 39.89 / -0.3% | HEAD 91% | TAIL 227% | B/ATR nan
2007-07-11 | Bull | 39.8 / 0.2% | HEAD 225% | TAIL 138% | B/ATR nan
2007-07-12 | Bull | 39.94 / 0.1% | HEAD 425% | TAIL 450% | B/ATR nan
2007-07-13 | Bull | 40.13 / 0.3% | HEAD 15% | TAIL 138% | B/ATR nan
2007-07-16 | Bear | 40.02 / -0.7% | HEAD 7% | TAIL 53% | B/ATR nan
2007-07-17 | Bull | 40.45 / 1.2% | HEAD 28% | TAIL 11% | B/ATR nan
2007-07-18 | Bull | 41.07 / 1.7% | HEAD 13% | TAIL 13% | B/ATR nan
2007-07-19 | Bull | 41.65 / 1.0% | HEAD 90% | TAIL 37% | B/ATR nan
2007-07-20 | Bear | 41.55 / -0.3% | HEAD 58% | TAIL 358% | B/ATR nan
2007-07-23 | Bull | 41.85 / 0.5% | HEAD 130% | TAIL 140% | B/ATR nan
2007-07-24 | Bear | 41.55 / -0.4% | HEAD 113% | TAIL 167% | B/ATR nan
2007-07-25 | Bear | 41.3 / -1.0% | HEAD 0% | TAIL 37% | B/ATR nan
2007-07-26 | Bear | 39.53 / -3.6% | HEAD 5% | TAIL 123% | B/ATR nan
2007-07-27 | Bear | 39.02 / -1.6% | HEAD 0% | TAIL 27% | B/ATR nan
2007-07-30 | Bear | 38.0 / -2.6% | HEAD 0% | TAIL 13% | B/ATR nan
2007-07-31 | Bear | 38.22 / -0.1% | HEAD 2000% | TAIL 800% | B/ATR nan
2007-08-01 | Bull | 36.78 / 1.2% | HEAD 47% | TAIL 51% | B/ATR nan
2007-08-02 | Bear | 36.55 / -1.5% | HEAD 38% | TAIL 65% | B/ATR nan
2007-08-03 | Bear | 35.72 / -2.5% | HEAD 3% | TAIL 2% | B/ATR nan
2007-08-06 | Bull | 35.81 / 0.2% | HEAD 829% | TAIL 1871% | B/ATR nan
2007-08-07 | Bear | 35.15 / -2.4% | HEAD 5% | TAIL 47% | B/ATR nan
2007-08-08 | Bear | 34.98 / -0.2% | HEAD 1200% | TAIL 1086% | B/ATR nan
2007-08-09 | Bear | 34.12 / -1.7% | HEAD 8% | TAIL 142% | B/ATR nan
2007-08-10 | Bull | 34.6 / 3.0% | HEAD 39% | TAIL 92% | B/ATR nan
2007-08-13 | Bull | 35.35 / 0.9% | HEAD 410% | TAIL 57% | B/ATR nan
2007-08-14 | Bear | 35.42 / -0.2% | HEAD 200% | TAIL 850% | B/ATR nan
2007-08-15 | Bear | 34.42 / -3.0% | HEAD 26% | TAIL 27% | B/ATR nan
2007-08-16 | Bear | 34.03 / -1.2% | HEAD 21% | TAIL 158% | B/ATR nan
2007-08-17 | Bear | 33.73 / -1.7% | HEAD 70% | TAIL 25% | B/ATR nan
2007-08-20 | Bear | 33.64 / -1.1% | HEAD 94% | TAIL 19% | B/ATR 0.5
2007-08-21 | Bear | 33.0 / -1.9% | HEAD 29% | TAIL 43% | B/ATR 0.9
2007-08-22 | Bull | 33.87 / 1.6% | HEAD 0% | TAIL 41% | B/ATR 0.7
2007-08-23 | Bull | 34.65 / 1.7% | HEAD 44% | TAIL 2% | B/ATR 0.8
2007-08-24 | Bull | 35.22 / 2.0% | HEAD 13% | TAIL 41% | B/ATR 0.9
2007-08-27 | Bull | 35.37 / 0.2% | HEAD 114% | TAIL 343% | B/ATR 0.1
2007-08-28 | Bear | 35.0 / -0.6% | HEAD 90% | TAIL 110% | B/ATR 0.3
2007-08-29 | Bull | 36.16 / 2.7% | HEAD 5% | TAIL 25% | B/ATR 1.2
2007-08-30 | Bull | 36.32 / 0.1% | HEAD 200% | TAIL 3100% | B/ATR 0.0
2007-08-31 | Bear | 36.7 / -0.1% | HEAD 280% | TAIL 700% | B/ATR 0.1
2007-09-04 | Bull | 36.6 / 0.4% | HEAD 354% | TAIL 38% | B/ATR 0.2
2007-09-05 | Bear | 35.65 / -2.3% | HEAD 0% | TAIL 40% | B/ATR 1.1
2007-09-06 | Bull | 35.98 / 1.9% | HEAD 12% | TAIL 41% | B/ATR 0.8
2007-09-07 | Bear | 35.37 / -0.4% | HEAD 223% | TAIL 131% | B/ATR 0.2
2007-09-10 | Bear | 35.07 / -0.7% | HEAD 12% | TAIL 48% | B/ATR 0.3
2007-09-11 | Bull | 35.52 / 0.9% | HEAD 41% | TAIL 116% | B/ATR 0.4
2007-09-12 | Bear | 34.37 / -3.5% | HEAD 11% | TAIL 13% | B/ATR 1.5
2007-09-13 | Bull | 34.74 / 0.7% | HEAD 112% | TAIL 0% | B/ATR 0.3
2007-09-14 | Bull | 34.74 / 0.7% | HEAD 17% | TAIL 33% | B/ATR 0.3
2007-09-17 | Bear | 34.12 / -1.5% | HEAD 9% | TAIL 49% | B/ATR 0.7
2007-09-18 | Bull | 34.18 / 0.6% | HEAD 57% | TAIL 129% | B/ATR 0.3
2007-09-19 | Bear | 33.45 / -2.2% | HEAD 48% | TAIL 13% | B/ATR 0.9
2007-09-20 | Bear | 32.25 / -3.9% | HEAD 3% | TAIL 22% | B/ATR 1.6
2007-09-21 | Bear | 31.57 / -2.3% | HEAD 3% | TAIL 59% | B/ATR 0.9
2007-09-24 | Bull | 31.76 / 0.1% | HEAD 425% | TAIL 650% | B/ATR 0.0
2007-09-25 | Bull | 32.13 / 2.0% | HEAD 3% | TAIL 112% | B/ATR 0.8
2007-09-26 | Bull | 32.92 / 2.0% | HEAD 35% | TAIL 9% | B/ATR 0.8
