2007-11-28 | Bull | 25.55 / 5.7% | HEAD 17% | TAIL 5% | B/ATR 1.6
2008-02-15 | Bull | 26.87 / 7.3% | HEAD 13% | TAIL 10% | B/ATR 2.1
2008-05-01 | Bull | 30.1 / 6.9% | HEAD 8% | TAIL 5% | B/ATR 2.1
2009-03-23 | Bull | 27.32 / 9.3% | HEAD 4% | TAIL 0% | B/ATR 1.8
2009-10-05 | Bull | 42.44 / 5.7% | HEAD 3% | TAIL 5% | B/ATR 1.9
2010-04-22 | Bull | 54.54 / 4.1% | HEAD 3% | TAIL 18% | B/ATR 2.0
2010-04-29 | Bull | 57.15 / 7.4% | HEAD 11% | TAIL 5% | B/ATR 3.7
2010-05-21 | Bull | 50.87 / 6.0% | HEAD 7% | TAIL 3% | B/ATR 2.4
2010-05-25 | Bull | 52.09 / 5.3% | HEAD 5% | TAIL 7% | B/ATR 2.1
2011-03-03 | Bull | 72.48 / 3.1% | HEAD 4% | TAIL 1% | B/ATR 1.7
2011-03-15 | Bull | 68.5 / 3.2% | HEAD 19% | TAIL 9% | B/ATR 1.6
2011-10-04 | Bull | 64.98 / 5.2% | HEAD 3% | TAIL 11% | B/ATR 1.9
2012-01-26 | Bull | 74.51 / 4.2% | HEAD 13% | TAIL 0% | B/ATR 1.8
2012-05-21 | Bull | 76.58 / 3.3% | HEAD 2% | TAIL 13% | B/ATR 1.8
2013-06-14 | Bull | 103.93 / 8.4% | HEAD 2% | TAIL 1% | B/ATR 5.2
2013-06-26 | Bull | 103.64 / 3.4% | HEAD 17% | TAIL 0% | B/ATR 2.1
2013-06-28 | Bull | 112.48 / 4.3% | HEAD 12% | TAIL 10% | B/ATR 2.8
2013-10-10 | Bull | 116.95 / 5.0% | HEAD 4% | TAIL 0% | B/ATR 2.6
2013-11-22 | Bull | 132.92 / 5.9% | HEAD 11% | TAIL 1% | B/ATR 3.2
2014-07-09 | Bull | 149.77 / 2.4% | HEAD 1% | TAIL 5% | B/ATR 1.6
2014-10-08 | Bull | 147.28 / 3.2% | HEAD 6% | TAIL 6% | B/ATR 2.2
2015-08-17 | Bull | 190.31 / 2.5% | HEAD 4% | TAIL 3% | B/ATR 1.6
2015-10-02 | Bull | 185.19 / 2.8% | HEAD 2% | TAIL 12% | B/ATR 1.6
2015-10-29 | Bull | 191.82 / 4.5% | HEAD 12% | TAIL 0% | B/ATR 2.6
2016-02-12 | Bull | 184.99 / 2.8% | HEAD 5% | TAIL 13% | B/ATR 1.5
2016-04-25 | Bull | 209.63 / 4.5% | HEAD 8% | TAIL 13% | B/ATR 2.9
