2003-08-18 | Bull | 20.91 / 8.3% | HEAD 16% | TAIL 0% | B/ATR 2.0
2003-08-21 | Bull | 22.15 / 6.5% | HEAD 4% | TAIL 0% | B/ATR 1.7
2003-11-05 | Bull | 30.43 / 4.9% | HEAD 4% | TAIL 0% | B/ATR 1.6
2005-02-04 | Bull | 24.8 / 5.4% | HEAD 0% | TAIL 12% | B/ATR 1.7
2005-03-30 | Bull | 25.75 / 5.1% | HEAD 6% | TAIL 0% | B/ATR 1.7
2005-09-23 | Bull | 33.9 / 3.8% | HEAD 6% | TAIL 15% | B/ATR 1.8
2008-01-23 | Bull | 30.3 / 6.3% | HEAD 0% | TAIL 6% | B/ATR 2.0
2009-10-09 | Bull | 23.64 / 5.2% | HEAD 1% | TAIL 0% | B/ATR 1.7
2011-12-09 | Bull | 29.94 / 5.1% | HEAD 5% | TAIL 0% | B/ATR 1.7
2012-01-18 | Bull | 33.72 / 5.5% | HEAD 6% | TAIL 1% | B/ATR 2.1
2012-06-29 | Bull | 28.69 / 4.7% | HEAD 1% | TAIL 1% | B/ATR 1.9
2012-07-18 | Bull | 27.65 / 4.0% | HEAD 3% | TAIL 13% | B/ATR 1.5
2012-12-11 | Bull | 31.01 / 3.5% | HEAD 12% | TAIL 5% | B/ATR 1.7
2013-02-22 | Bull | 34.18 / 3.1% | HEAD 7% | TAIL 0% | B/ATR 1.7
2014-03-20 | Bull | 46.95 / 3.1% | HEAD 1% | TAIL 10% | B/ATR 2.2
2014-06-05 | Bull | 47.4 / 3.4% | HEAD 6% | TAIL 14% | B/ATR 1.9
2014-06-25 | Bull | 48.04 / 3.0% | HEAD 5% | TAIL 8% | B/ATR 1.7
2014-10-16 | Bull | 43.59 / 3.7% | HEAD 20% | TAIL 0% | B/ATR 2.2
2014-11-26 | Bull | 54.33 / 3.4% | HEAD 1% | TAIL 1% | B/ATR 2.2
2015-10-22 | Bull | 58.09 / 3.5% | HEAD 2% | TAIL 18% | B/ATR 1.7
2016-09-12 | Bull | 67.94 / 2.5% | HEAD 5% | TAIL 1% | B/ATR 1.6
2016-11-09 | Bull | 69.79 / 2.9% | HEAD 8% | TAIL 10% | B/ATR 1.9
2018-01-03 | Bull | 108.43 / 2.4% | HEAD 3% | TAIL 11% | B/ATR 1.9
2018-01-17 | Bull | 119.16 / 4.6% | HEAD 5% | TAIL 8% | B/ATR 3.9
2018-02-14 | Bull | 102.68 / 2.8% | HEAD 10% | TAIL 0% | B/ATR 1.7
2018-03-02 | Bull | 108.22 / 3.3% | HEAD 8% | TAIL 4% | B/ATR 1.8
2018-04-04 | Bull | 104.21 / 4.2% | HEAD 9% | TAIL 4% | B/ATR 1.9
