2002-08-28|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT nan |CHG/ATR nan |B/CHG nan |B/ATR nan |V/LONG nan |V/SHORT nan |V/PREV nan |O 6.5 |H 6.5 |L 6.5 |C 6.5 |V 500
2002-08-29|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG nan |V/SHORT nan |V/PREV 0.0 |O 6.5 |H 6.5 |L 6.5 |C 6.5 |V 0
2002-08-30|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 7.7 |CHG/ATR nan |B/CHG 0.02 |B/ATR nan |V/LONG nan |V/SHORT nan |V/PREV inf |O 7.0 |H 7.0 |L 7.0 |C 7.0 |V 100
2002-09-03|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG nan |V/SHORT nan |V/PREV 0.0 |O 7.0 |H 7.0 |L 7.0 |C 7.0 |V 0
2002-09-04|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT -14.3 |CHG/ATR nan |B/CHG -1.00 |B/ATR nan |V/LONG nan |V/SHORT nan |V/PREV inf |O 7.0 |H 7.0 |L 6.0 |C 6.0 |V 300
2002-09-05|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG nan |V/SHORT 0.6 |V/PREV 0.3 |O 6.0 |H 6.0 |L 6.0 |C 6.0 |V 100
2002-09-06|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG nan |V/SHORT 0.0 |V/PREV 0.0 |O 6.0 |H 6.0 |L 6.0 |C 6.0 |V 0
2002-09-09|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG nan |V/SHORT 1.0 |V/PREV inf |O 6.0 |H 6.0 |L 6.0 |C 6.0 |V 100
2002-09-10|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG nan |V/SHORT 0.0 |V/PREV 0.0 |O 6.0 |H 6.0 |L 6.0 |C 6.0 |V 0
2002-09-11|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG nan |V/SHORT 0.0 |V/PREV nan |O 6.0 |H 6.0 |L 6.0 |C 6.0 |V 0
2002-09-12|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG nan |V/SHORT 0.0 |V/PREV nan |O 6.0 |H 6.0 |L 6.0 |C 6.0 |V 0
2002-09-13|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 8.3 |CHG/ATR nan |B/CHG 0.02 |B/ATR nan |V/LONG nan |V/SHORT 25.0 |V/PREV inf |O 6.5 |H 6.5 |L 6.5 |C 6.5 |V 500
2002-09-16|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG nan |V/SHORT 0.0 |V/PREV 0.0 |O 6.5 |H 6.5 |L 6.5 |C 6.5 |V 0
