2000-01-03 | Bear | 46.98 / -0.6% | HEAD 93% | TAIL 37% | B/ATR nan
2000-01-04 | Bear | 45.5 / -2.2% | HEAD 106% | TAIL 150% | B/ATR nan
2000-01-05 | Bear | 42.63 / -5.0% | HEAD 5% | TAIL 22% | B/ATR nan
2000-01-06 | Bear | 40.0 / -3.6% | HEAD 83% | TAIL 8% | B/ATR nan
2000-01-07 | Bear | 37.0 / -8.1% | HEAD 4% | TAIL 42% | B/ATR nan
2000-01-10 | Bull | 38.38 / 2.3% | HEAD 118% | TAIL 4% | B/ATR nan
2000-01-11 | Bull | 38.5 / 0.3% | HEAD 317% | TAIL 625% | B/ATR nan
2000-01-12 | Bull | 43.63 / 12.9% | HEAD 50% | TAIL 5% | B/ATR nan
2000-01-13 | Bull | 44.13 / 1.0% | HEAD 84% | TAIL 298% | B/ATR nan
2000-01-14 | Bull | 45.63 / 2.5% | HEAD 221% | TAIL 11% | B/ATR nan
2000-01-18 | Bull | 48.75 / 8.3% | HEAD 40% | TAIL 3% | B/ATR nan
2000-01-19 | Bull | 48.94 / 0.8% | HEAD 476% | TAIL 805% | B/ATR nan
2000-01-20 | Bear | 48.94 / -2.1% | HEAD 47% | TAIL 89% | B/ATR nan
2000-01-21 | Bull | 49.63 / 0.5% | HEAD 748% | TAIL 700% | B/ATR nan
2000-01-24 | Bull | 55.25 / 10.0% | HEAD 69% | TAIL 5% | B/ATR nan
2000-01-25 | Bull | 56.0 / 1.1% | HEAD 121% | TAIL 323% | B/ATR nan
2000-01-26 | Bull | 59.0 / 5.6% | HEAD 32% | TAIL 52% | B/ATR nan
2000-01-27 | Bear | 58.0 / -2.1% | HEAD 40% | TAIL 90% | B/ATR nan
2000-01-28 | Bear | 56.0 / -3.2% | HEAD 120% | TAIL 80% | B/ATR nan
2000-01-31 | Bear | 54.88 / -1.9% | HEAD 267% | TAIL 264% | B/ATR nan
2000-02-01 | Bull | 58.75 / 6.3% | HEAD 25% | TAIL 18% | B/ATR nan
2000-02-02 | Bear | 58.31 / -1.6% | HEAD 559% | TAIL 111% | B/ATR nan
2000-02-03 | Bull | 60.5 / 3.2% | HEAD 53% | TAIL 7% | B/ATR nan
2000-02-04 | Bull | 60.5 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2000-02-07 | Bear | 61.06 / -0.7% | HEAD 30% | TAIL 268% | B/ATR nan
2000-02-08 | Bull | 64.5 / 0.0% | HEAD 0% | TAIL 38700% | B/ATR nan
2000-02-09 | Bear | 60.63 / -5.2% | HEAD 5% | TAIL 19% | B/ATR nan
2000-02-10 | Bear | 59.31 / -2.1% | HEAD 26% | TAIL 65% | B/ATR nan
2000-02-11 | Bull | 58.5 / 4.5% | HEAD 72% | TAIL 122% | B/ATR nan
2000-02-14 | Bull | 69.0 / 17.9% | HEAD 13% | TAIL 5% | B/ATR nan
2000-02-15 | Bull | 69.75 / 5.3% | HEAD 47% | TAIL 50% | B/ATR nan
2000-02-16 | Bull | 72.13 / 4.3% | HEAD 29% | TAIL 0% | B/ATR nan
2000-02-17 | Bull | 74.5 / 4.2% | HEAD 21% | TAIL 0% | B/ATR nan
2000-02-18 | Bull | 76.63 / 2.2% | HEAD 138% | TAIL 0% | B/ATR nan
2000-02-22 | Bull | 76.31 / 0.2% | HEAD 800% | TAIL 906% | B/ATR nan
2000-02-23 | Bear | 73.13 / -3.5% | HEAD 19% | TAIL 10% | B/ATR nan
2000-02-24 | Bear | 73.0 / -2.3% | HEAD 14% | TAIL 129% | B/ATR nan
2000-02-25 | Bull | 73.0 / 0.3% | HEAD 263% | TAIL 621% | B/ATR nan
2000-02-28 | Bull | 74.31 / 2.1% | HEAD 4% | TAIL 256% | B/ATR nan
2000-02-29 | Bull | 82.13 / 10.2% | HEAD 220% | TAIL 0% | B/ATR nan
2000-03-01 | Bull | 98.25 / 17.0% | HEAD 78% | TAIL 0% | B/ATR nan
2000-03-02 | Bear | 96.75 / -0.4% | HEAD 229% | TAIL 1776% | B/ATR nan
2000-03-03 | Bull | 111.9 / 14.2% | HEAD 3% | TAIL 11% | B/ATR nan
2000-03-06 | Bear | 109.8 / -1.9% | HEAD 290% | TAIL 19% | B/ATR nan
2000-03-07 | Bull | 114.0 / 1.9% | HEAD 310% | TAIL 14% | B/ATR nan
2000-03-08 | Bear | 108.0 / -6.0% | HEAD 3% | TAIL 130% | B/ATR nan
2000-03-09 | Bear | 107.1 / -0.4% | HEAD 500% | TAIL 1200% | B/ATR nan
2000-03-10 | Bear | 100.0 / -6.4% | HEAD 4% | TAIL 11% | B/ATR nan
2000-03-13 | Bear | 95.0 / -2.9% | HEAD 4% | TAIL 69% | B/ATR nan
2000-03-14 | Bear | 85.44 / -10.8% | HEAD 40% | TAIL 3% | B/ATR nan
2000-03-15 | Bear | 78.75 / -7.8% | HEAD 17% | TAIL 19% | B/ATR nan
2000-03-16 | Bear | 78.0 / -2.5% | HEAD 219% | TAIL 181% | B/ATR nan
2000-03-17 | Bull | 83.44 / 5.8% | HEAD 86% | TAIL 41% | B/ATR nan
2000-03-20 | Bear | 85.0 / -4.5% | HEAD 50% | TAIL 12% | B/ATR nan
2000-03-21 | Bear | 82.75 / -2.6% | HEAD 50% | TAIL 103% | B/ATR nan
2000-03-22 | Bull | 88.0 / 4.9% | HEAD 12% | TAIL 42% | B/ATR nan
2000-03-23 | Bull | 92.88 / 2.3% | HEAD 82% | TAIL 129% | B/ATR nan
2000-03-24 | Bear | 94.56 / -0.5% | HEAD 170% | TAIL 355% | B/ATR nan
2000-03-27 | Bear | 94.94 / -0.1% | HEAD 4900% | TAIL 1050% | B/ATR nan
2000-03-28 | Bear | 86.19 / -9.1% | HEAD 4% | TAIL 28% | B/ATR nan
2000-03-29 | Bear | 78.0 / -10.3% | HEAD 0% | TAIL 11% | B/ATR nan
2000-03-30 | Bear | 71.19 / -7.1% | HEAD 15% | TAIL 40% | B/ATR nan
2000-03-31 | Bull | 74.0 / 2.2% | HEAD 185% | TAIL 93% | B/ATR nan
2000-04-03 | Bear | 68.25 / -7.1% | HEAD 1% | TAIL 0% | B/ATR nan
2000-04-04 | Bull | 71.0 / 0.7% | HEAD 62% | TAIL 2474% | B/ATR nan
2000-04-05 | Bull | 71.0 / 0.6% | HEAD 1450% | TAIL 709% | B/ATR nan
2000-04-06 | Bear | 71.72 / -2.4% | HEAD 249% | TAIL 378% | B/ATR nan
2000-04-07 | Bull | 75.13 / 2.3% | HEAD 48% | TAIL 63% | B/ATR nan
2000-04-10 | Bear | 66.44 / -11.2% | HEAD 5% | TAIL 11% | B/ATR nan
2000-04-11 | Bull | 65.91 / 6.7% | HEAD 38% | TAIL 36% | B/ATR nan
2000-04-12 | Bear | 63.5 / -4.3% | HEAD 43% | TAIL 4% | B/ATR nan
2000-04-13 | Bull | 64.38 / 0.6% | HEAD 2268% | TAIL 132% | B/ATR nan
2000-04-14 | Bear | 60.88 / -4.9% | HEAD 0% | TAIL 84% | B/ATR nan
2000-04-17 | Bear | 58.13 / -0.6% | HEAD 576% | TAIL 441% | B/ATR nan
2000-04-18 | Bull | 64.25 / 10.5% | HEAD 118% | TAIL 0% | B/ATR nan
2000-04-19 | Bear | 63.75 / -0.8% | HEAD 976% | TAIL 100% | B/ATR nan
2000-04-20 | Bull | 64.44 / 1.1% | HEAD 154% | TAIL 36% | B/ATR nan
2000-04-24 | Bear | 56.75 / -11.5% | HEAD 0% | TAIL 29% | B/ATR nan
2000-04-25 | Bull | 63.88 / 6.5% | HEAD 3% | TAIL 13% | B/ATR nan
2000-04-26 | Bull | 64.13 / 30.9% | HEAD 1% | TAIL 0% | B/ATR nan
2000-04-27 | Bull | 64.63 / 9.5% | HEAD 0% | TAIL 55% | B/ATR nan
2000-04-28 | Bear | 62.13 / -2.9% | HEAD 43% | TAIL 40% | B/ATR nan
2000-05-01 | Bear | 60.13 / -3.4% | HEAD 78% | TAIL 0% | B/ATR nan
2000-05-02 | Bull | 60.88 / 1.5% | HEAD 212% | TAIL 28% | B/ATR nan
2000-05-03 | Bull | 61.88 / 0.8% | HEAD 124% | TAIL 488% | B/ATR nan
2000-05-04 | Bear | 60.44 / -1.5% | HEAD 213% | TAIL 86% | B/ATR nan
2000-05-05 | Bear | 59.0 / -1.3% | HEAD 167% | TAIL 208% | B/ATR nan
2000-05-08 | Bear | 55.75 / -4.5% | HEAD 33% | TAIL 0% | B/ATR nan
2000-05-09 | Bear | 52.0 / -8.7% | HEAD 1% | TAIL 39% | B/ATR nan
2000-05-10 | Bear | 49.0 / -4.4% | HEAD 0% | TAIL 89% | B/ATR nan
2000-05-11 | Bear | 48.75 / -2.5% | HEAD 0% | TAIL 45% | B/ATR nan
2000-05-12 | Bull | 49.75 / 0.0% | HEAD 17500% | TAIL 5000% | B/ATR nan
2000-05-15 | Bear | 49.38 / -1.5% | HEAD 0% | TAIL 133% | B/ATR nan
2000-05-16 | Bull | 51.94 / 1.6% | HEAD 162% | TAIL 62% | B/ATR nan
2000-05-17 | Bear | 50.06 / -2.6% | HEAD 170% | TAIL 5% | B/ATR nan
2000-05-18 | Bear | 48.25 / -5.4% | HEAD 9% | TAIL 45% | B/ATR nan
2000-05-19 | Bear | 44.63 / -7.8% | HEAD 0% | TAIL 17% | B/ATR nan
2000-05-22 | Bear | 43.75 / -2.5% | HEAD 55% | TAIL 44% | B/ATR nan
2000-05-23 | Bear | 43.44 / -0.7% | HEAD 929% | TAIL 100% | B/ATR nan
2000-05-24 | Bear | 42.63 / -2.0% | HEAD 0% | TAIL 159% | B/ATR nan
2000-05-25 | Bull | 42.81 / 0.0% | HEAD 40700% | TAIL 0% | B/ATR nan
2000-05-26 | Bull | 42.0 / 0.0% | HEAD 20000% | TAIL 1200% | B/ATR nan
2000-05-30 | Bull | 43.5 / 0.9% | HEAD 373% | TAIL 338% | B/ATR nan
2000-05-31 | Bull | 45.88 / 3.1% | HEAD 113% | TAIL 109% | B/ATR nan
2000-06-01 | Bull | 55.63 / 22.6% | HEAD 1% | TAIL 2% | B/ATR nan
2000-06-02 | Bear | 56.25 / -1.6% | HEAD 366% | TAIL 266% | B/ATR nan
2000-06-05 | Bull | 56.75 / 0.9% | HEAD 142% | TAIL 347% | B/ATR nan
2000-06-06 | Bear | 54.75 / -2.2% | HEAD 140% | TAIL 100% | B/ATR nan
2000-06-07 | Bear | 53.25 / -2.5% | HEAD 36% | TAIL 54% | B/ATR nan
2000-06-08 | Bull | 49.38 / 3.1% | HEAD 75% | TAIL 79% | B/ATR nan
2000-06-09 | Bull | 53.88 / 7.8% | HEAD 19% | TAIL 6% | B/ATR nan
2000-06-12 | Bear | 53.75 / -0.6% | HEAD 668% | TAIL 119% | B/ATR nan
2000-06-13 | Bull | 55.81 / 3.9% | HEAD 9% | TAIL 144% | B/ATR nan
2000-06-14 | Bear | 53.88 / -4.6% | HEAD 5% | TAIL 24% | B/ATR nan
2000-06-15 | Bull | 55.25 / 2.5% | HEAD 18% | TAIL 32% | B/ATR nan
2000-06-16 | Bull | 56.06 / 1.1% | HEAD 232% | TAIL 50% | B/ATR nan
2000-06-19 | Bull | 63.75 / 13.7% | HEAD 3% | TAIL 7% | B/ATR nan
2000-06-20 | Bull | 67.63 / 5.9% | HEAD 50% | TAIL 63% | B/ATR nan
2000-06-21 | Bull | 71.94 / 6.5% | HEAD 10% | TAIL 24% | B/ATR nan
2000-06-22 | Bear | 70.13 / -2.6% | HEAD 0% | TAIL 20% | B/ATR 0.3
2000-06-23 | Bear | 68.75 / -2.1% | HEAD 54% | TAIL 95% | B/ATR 0.2
2000-06-26 | Bull | 69.63 / 1.3% | HEAD 20% | TAIL 127% | B/ATR 0.1
2000-06-27 | Bear | 67.75 / -3.2% | HEAD 28% | TAIL 67% | B/ATR 0.4
2000-06-28 | Bull | 70.13 / 4.3% | HEAD 17% | TAIL 13% | B/ATR 0.5
2000-06-29 | Bull | 72.75 / 3.9% | HEAD 50% | TAIL 32% | B/ATR 0.4
2000-06-30 | Bull | 73.25 / 0.5% | HEAD 878% | TAIL 103% | B/ATR 0.1
2000-07-03 | Bull | 73.56 / 0.9% | HEAD 294% | TAIL 65% | B/ATR 0.1
2000-07-05 | Bear | 68.44 / -6.8% | HEAD 1% | TAIL 31% | B/ATR 0.8
2000-07-06 | Bull | 68.75 / 0.0% | HEAD 18800% | TAIL 7500% | B/ATR 0.0
2000-07-07 | Bull | 74.06 / 6.9% | HEAD 22% | TAIL 0% | B/ATR 0.8
2000-07-10 | Bull | 81.13 / 9.7% | HEAD 61% | TAIL 4% | B/ATR 1.2
2000-07-11 | Bull | 82.88 / 2.3% | HEAD 115% | TAIL 2% | B/ATR 0.3
2000-07-12 | Bull | 92.0 / 11.5% | HEAD 5% | TAIL 0% | B/ATR 1.5
2000-07-13 | Bull | 96.94 / 5.1% | HEAD 72% | TAIL 5% | B/ATR 0.8
2000-07-14 | Bull | 97.88 / 0.5% | HEAD 0% | TAIL 676% | B/ATR 0.1
2000-07-17 | Bull | 98.75 / 1.4% | HEAD 113% | TAIL 55% | B/ATR 0.2
2000-07-18 | Bear | 93.5 / -5.4% | HEAD 11% | TAIL 9% | B/ATR 0.9
2000-07-19 | Bear | 86.13 / -7.9% | HEAD 0% | TAIL 2% | B/ATR 1.2
2000-07-20 | Bear | 83.19 / -3.7% | HEAD 59% | TAIL 2% | B/ATR 0.5
2000-07-21 | Bear | 81.63 / -2.8% | HEAD 46% | TAIL 16% | B/ATR 0.4
2000-07-24 | Bear | 80.0 / -2.3% | HEAD 173% | TAIL 6% | B/ATR 0.3
2000-07-25 | Bear | 81.0 / -0.3% | HEAD 400% | TAIL 400% | B/ATR 0.0
2000-07-26 | Bear | 77.0 / -4.9% | HEAD 16% | TAIL 38% | B/ATR 0.7
2000-07-27 | Bear | 70.0 / -8.0% | HEAD 4% | TAIL 37% | B/ATR 1.0
2000-07-28 | Bear | 72.25 / -1.4% | HEAD 288% | TAIL 150% | B/ATR 0.2
2000-07-31 | Bull | 78.75 / 4.3% | HEAD 15% | TAIL 46% | B/ATR 0.5
2000-08-01 | Bear | 72.25 / -6.0% | HEAD 3% | TAIL 40% | B/ATR 0.8
2000-08-02 | Bull | 73.13 / 1.4% | HEAD 125% | TAIL 182% | B/ATR 0.2
2000-08-03 | Bear | 70.19 / -1.8% | HEAD 15% | TAIL 215% | B/ATR 0.2
2000-08-04 | Bear | 69.0 / -2.5% | HEAD 193% | TAIL 171% | B/ATR 0.3
2000-08-07 | Bull | 73.36 / 4.4% | HEAD 173% | TAIL 56% | B/ATR 0.5
2000-08-08 | Bear | 73.0 / -0.9% | HEAD 79% | TAIL 159% | B/ATR 0.1
2000-08-09 | Bear | 72.56 / -1.6% | HEAD 32% | TAIL 26% | B/ATR 0.2
2000-08-10 | Bear | 68.63 / -5.7% | HEAD 0% | TAIL 35% | B/ATR 0.7
2000-08-11 | Bull | 67.81 / 0.1% | HEAD 317% | TAIL 11250% | B/ATR 0.0
2000-08-14 | Bull | 71.31 / 5.3% | HEAD 47% | TAIL 60% | B/ATR 0.6
2000-08-15 | Bull | 72.77 / 0.7% | HEAD 188% | TAIL 48% | B/ATR 0.1
2000-08-16 | Bear | 72.38 / -1.3% | HEAD 0% | TAIL 41% | B/ATR 0.2
2000-08-17 | Bull | 72.0 / 2.1% | HEAD 75% | TAIL 117% | B/ATR 0.3
2000-08-18 | Bull | 73.63 / 0.9% | HEAD 162% | TAIL 209% | B/ATR 0.1
2000-08-21 | Bear | 73.13 / -1.8% | HEAD 82% | TAIL 96% | B/ATR 0.2
2000-08-22 | Bull | 72.06 / 0.0% | HEAD 9400% | TAIL 5000% | B/ATR 0.0
2000-08-23 | Bear | 71.25 / -0.7% | HEAD 200% | TAIL 150% | B/ATR 0.1
2000-08-24 | Bear | 71.94 / -0.0% | HEAD 733% | TAIL 1467% | B/ATR 0.0
2000-08-25 | Bull | 74.38 / 3.4% | HEAD 66% | TAIL 8% | B/ATR 0.4
2000-08-28 | Bull | 77.75 / 4.2% | HEAD 96% | TAIL 0% | B/ATR 0.5
2000-08-29 | Bull | 87.19 / 9.8% | HEAD 10% | TAIL 2% | B/ATR 1.3
2000-08-30 | Bear | 86.08 / -0.2% | HEAD 2500% | TAIL 929% | B/ATR 0.0
2000-08-31 | Bull | 89.63 / 3.8% | HEAD 31% | TAIL 4% | B/ATR 0.6
2000-09-01 | Bear | 89.38 / -0.6% | HEAD 500% | TAIL 100% | B/ATR 0.1
2000-09-05 | Bear | 87.13 / -2.6% | HEAD 1% | TAIL 44% | B/ATR 0.4
2000-09-06 | Bear | 76.5 / -11.7% | HEAD 2% | TAIL 6% | B/ATR 1.8
2000-09-07 | Bull | 92.69 / 19.7% | HEAD 5% | TAIL 1% | B/ATR 2.7
2000-09-08 | Bear | 88.25 / -3.0% | HEAD 17% | TAIL 28% | B/ATR 0.5
2000-09-11 | Bull | 93.88 / 7.0% | HEAD 34% | TAIL 8% | B/ATR 1.1
2000-09-12 | Bear | 92.88 / -0.6% | HEAD 959% | TAIL 64% | B/ATR 0.1
2000-09-13 | Bear | 90.88 / -1.2% | HEAD 246% | TAIL 112% | B/ATR 0.2
2000-09-14 | Bull | 101.1 / 9.3% | HEAD 14% | TAIL 3% | B/ATR 1.5
2000-09-15 | Bear | 99.88 / -0.1% | HEAD 2000% | TAIL 942% | B/ATR 0.0
2000-09-18 | Bear | 93.38 / -6.3% | HEAD 5% | TAIL 38% | B/ATR 1.1
2000-09-19 | Bull | 95.19 / 0.6% | HEAD 234% | TAIL 336% | B/ATR 0.1
2000-09-20 | Bear | 91.31 / -3.6% | HEAD 26% | TAIL 91% | B/ATR 0.6
2000-09-21 | Bear | 89.5 / -1.5% | HEAD 172% | TAIL 27% | B/ATR 0.2
2000-09-22 | Bull | 90.25 / 4.6% | HEAD 6% | TAIL 100% | B/ATR 0.7
2000-09-25 | Bear | 94.75 / -0.5% | HEAD 750% | TAIL 324% | B/ATR 0.1
2000-09-26 | Bull | 109.9 / 15.8% | HEAD 13% | TAIL 2% | B/ATR 2.6
2000-09-27 | Bull | 115.5 / 5.6% | HEAD 8% | TAIL 67% | B/ATR 1.1
2000-09-28 | Bull | 115.0 / 1.7% | HEAD 105% | TAIL 442% | B/ATR 0.3
2000-09-29 | Bear | 106.3 / -6.4% | HEAD 45% | TAIL 0% | B/ATR 1.3
2000-10-02 | Bear | 104.0 / -4.1% | HEAD 0% | TAIL 78% | B/ATR 0.8
2000-10-03 | Bear | 99.0 / -4.5% | HEAD 47% | TAIL 29% | B/ATR 0.8
2000-10-04 | Bull | 102.0 / 3.9% | HEAD 80% | TAIL 45% | B/ATR 0.7
2000-10-05 | Bull | 102.5 / 1.0% | HEAD 170% | TAIL 287% | B/ATR 0.2
2000-10-06 | Bull | 67.56 / 11.1% | HEAD 132% | TAIL 34% | B/ATR 1.1
2000-10-09 | Bull | 76.25 / 13.5% | HEAD 21% | TAIL 24% | B/ATR 1.5
2000-10-10 | Bear | 69.63 / -4.8% | HEAD 71% | TAIL 73% | B/ATR 0.6
2000-10-11 | Bull | 73.88 / 7.0% | HEAD 64% | TAIL 47% | B/ATR 0.8
2000-10-12 | Bear | 71.25 / -6.2% | HEAD 55% | TAIL 24% | B/ATR 0.8
2000-10-13 | Bull | 78.61 / 11.3% | HEAD 0% | TAIL 0% | B/ATR 1.3
2000-10-16 | Bull | 80.0 / 3.1% | HEAD 123% | TAIL 81% | B/ATR 0.4
2000-10-17 | Bear | 79.94 / -0.8% | HEAD 216% | TAIL 896% | B/ATR 0.1
2000-10-18 | Bear | 74.25 / -3.4% | HEAD 109% | TAIL 10% | B/ATR 0.4
2000-10-19 | Bull | 79.13 / 2.2% | HEAD 37% | TAIL 92% | B/ATR 0.3
2000-10-20 | Bull | 85.88 / 8.7% | HEAD 7% | TAIL 15% | B/ATR 1.1
2000-10-23 | Bear | 84.31 / -2.0% | HEAD 207% | TAIL 122% | B/ATR 0.3
2000-10-24 | Bear | 80.0 / -4.8% | HEAD 0% | TAIL 62% | B/ATR 0.6
2000-10-25 | Bear | 68.0 / -3.4% | HEAD 58% | TAIL 45% | B/ATR 0.4
2000-10-26 | Bull | 70.75 / 1.8% | HEAD 0% | TAIL 760% | B/ATR 0.2
2000-10-27 | Bear | 63.44 / -12.2% | HEAD 57% | TAIL 1% | B/ATR 1.4
