2000-06-01 | Bull | 55.63 / 22.6% | HEAD 1% | TAIL 2% | B/ATR 1.6
2000-07-12 | Bull | 92.0 / 11.5% | HEAD 5% | TAIL 0% | B/ATR 1.6
2000-09-07 | Bull | 92.69 / 19.7% | HEAD 5% | TAIL 1% | B/ATR 2.8
2000-09-14 | Bull | 101.1 / 9.3% | HEAD 14% | TAIL 3% | B/ATR 1.5
2000-09-26 | Bull | 109.9 / 15.8% | HEAD 13% | TAIL 2% | B/ATR 2.7
2003-05-12 | Bull | 18.3 / 7.8% | HEAD 5% | TAIL 3% | B/ATR 1.7
2003-09-08 | Bull | 23.951 / 7.5% | HEAD 17% | TAIL 1% | B/ATR 2.1
2003-10-16 | Bull | 27.06 / 8.0% | HEAD 2% | TAIL 8% | B/ATR 2.5
2003-10-27 | Bull | 25.08 / 7.5% | HEAD 15% | TAIL 9% | B/ATR 2.1
2005-07-20 | Bull | 19.01 / 4.7% | HEAD 6% | TAIL 5% | B/ATR 1.6
2005-08-02 | Bull | 21.41 / 4.1% | HEAD 0% | TAIL 2% | B/ATR 1.6
2005-10-13 | Bull | 16.92 / 6.7% | HEAD 8% | TAIL 0% | B/ATR 2.0
2006-01-19 | Bull | 21.32 / 8.5% | HEAD 2% | TAIL 0% | B/ATR 3.1
2006-05-04 | Bull | 26.74 / 4.6% | HEAD 3% | TAIL 0% | B/ATR 1.7
2007-06-21 | Bull | 20.95 / 6.3% | HEAD 14% | TAIL 1% | B/ATR 2.4
2007-07-17 | Bull | 22.09 / 5.8% | HEAD 16% | TAIL 1% | B/ATR 2.5
2007-09-11 | Bull | 18.48 / 5.2% | HEAD 3% | TAIL 6% | B/ATR 1.6
2008-02-01 | Bull | 15.18 / 7.0% | HEAD 4% | TAIL 0% | B/ATR 1.7
2008-04-03 | Bull | 18.41 / 6.1% | HEAD 5% | TAIL 0% | B/ATR 1.7
2008-04-29 | Bull | 18.95 / 6.8% | HEAD 19% | TAIL 0% | B/ATR 1.9
2008-09-26 | Bull | 15.65 / 8.9% | HEAD 5% | TAIL 5% | B/ATR 1.8
2009-07-23 | Bull | 14.8 / 8.9% | HEAD 14% | TAIL 12% | B/ATR 1.8
2009-07-28 | Bull | 20.11 / 10.7% | HEAD 0% | TAIL 15% | B/ATR 2.9
2009-08-21 | Bull | 21.76 / 8.5% | HEAD 8% | TAIL 1% | B/ATR 2.2
2009-10-14 | Bull | 26.24 / 6.3% | HEAD 2% | TAIL 8% | B/ATR 1.7
2009-11-17 | Bull | 28.17 / 5.9% | HEAD 10% | TAIL 6% | B/ATR 1.5
2009-12-08 | Bull | 31.35 / 5.9% | HEAD 12% | TAIL 5% | B/ATR 1.6
2010-01-08 | Bull | 37.11 / 5.8% | HEAD 11% | TAIL 0% | B/ATR 1.8
2010-03-23 | Bull | 43.36 / 8.4% | HEAD 5% | TAIL 1% | B/ATR 2.4
2010-04-05 | Bull | 46.47 / 6.0% | HEAD 2% | TAIL 1% | B/ATR 1.8
2010-04-14 | Bull | 49.81 / 6.6% | HEAD 1% | TAIL 2% | B/ATR 2.1
2010-04-22 | Bull | 51.16 / 6.3% | HEAD 0% | TAIL 16% | B/ATR 2.0
2010-05-03 | Bull | 48.99 / 7.6% | HEAD 4% | TAIL 11% | B/ATR 2.1
2010-05-21 | Bull | 41.47 / 7.7% | HEAD 11% | TAIL 20% | B/ATR 1.6
2010-07-07 | Bull | 37.59 / 10.4% | HEAD 5% | TAIL 0% | B/ATR 1.5
2011-05-18 | Bull | 55.19 / 6.5% | HEAD 18% | TAIL 0% | B/ATR 1.6
2012-08-06 | Bull | 36.46 / 7.2% | HEAD 16% | TAIL 0% | B/ATR 1.7
2012-10-23 | Bull | 30.9 / 14.4% | HEAD 2% | TAIL 4% | B/ATR 2.8
2012-11-28 | Bull | 29.46 / 8.0% | HEAD 5% | TAIL 4% | B/ATR 1.7
2013-11-13 | Bull | 30.19 / 6.3% | HEAD 1% | TAIL 6% | B/ATR 1.6
2014-01-07 | Bull | 34.77 / 6.9% | HEAD 8% | TAIL 7% | B/ATR 2.0
2014-01-22 | Bull | 37.53 / 6.6% | HEAD 3% | TAIL 0% | B/ATR 2.1
2014-06-27 | Bull | 36.83 / 7.2% | HEAD 3% | TAIL 0% | B/ATR 1.9
2014-10-15 | Bull | 33.09 / 7.2% | HEAD 10% | TAIL 0% | B/ATR 2.0
2016-02-23 | Bull | 17.07 / 9.8% | HEAD 13% | TAIL 18% | B/ATR 2.0
2016-10-05 | Bull | 20.92 / 5.6% | HEAD 9% | TAIL 4% | B/ATR 1.8
2017-04-19 | Bull | 29.45 / 5.7% | HEAD 6% | TAIL 3% | B/ATR 2.0
2017-06-08 | Bull | 32.7 / 5.0% | HEAD 3% | TAIL 10% | B/ATR 1.7
2017-12-14 | Bull | 15.0 / 12.4% | HEAD 12% | TAIL 3% | B/ATR 1.8
