2007-08-15 | Bull | 57.71 / 10.7% | HEAD 39% | TAIL 11% | B/ATR nan
2007-08-16 | Bear | 56.99 / -6.6% | HEAD 12% | TAIL 107% | B/ATR nan
2007-08-17 | Bear | 55.55 / -2.5% | HEAD 140% | TAIL 76% | B/ATR nan
2007-08-20 | Bull | 57.33 / 2.3% | HEAD 13% | TAIL 34% | B/ATR nan
2007-08-21 | Bull | 65.99 / 15.3% | HEAD 7% | TAIL 9% | B/ATR nan
2007-08-22 | Bear | 66.85 / -4.7% | HEAD 113% | TAIL 9% | B/ATR nan
2007-08-23 | Bull | 70.2 / 3.1% | HEAD 32% | TAIL 144% | B/ATR nan
2007-08-24 | Bull | 71.3 / 1.6% | HEAD 123% | TAIL 68% | B/ATR nan
2007-08-27 | Bull | 72.3 / 0.8% | HEAD 184% | TAIL 126% | B/ATR nan
2007-08-28 | Bear | 69.78 / -2.9% | HEAD 9% | TAIL 155% | B/ATR nan
2007-08-29 | Bear | 68.2 / -5.3% | HEAD 13% | TAIL 28% | B/ATR nan
2007-08-30 | Bull | 68.46 / 1.3% | HEAD 175% | TAIL 151% | B/ATR nan
2007-08-31 | Bear | 68.89 / -1.3% | HEAD 31% | TAIL 38% | B/ATR nan
2007-09-04 | Bear | 67.45 / -2.3% | HEAD 4% | TAIL 12% | B/ATR nan
2007-09-05 | Bear | 64.21 / -3.5% | HEAD 2% | TAIL 24% | B/ATR nan
2007-09-06 | Bull | 69.79 / 8.0% | HEAD 6% | TAIL 10% | B/ATR nan
2007-09-07 | Bull | 69.5 / 3.7% | HEAD 72% | TAIL 8% | B/ATR nan
2007-09-10 | Bull | 76.76 / 6.6% | HEAD 50% | TAIL 66% | B/ATR nan
2007-09-11 | Bear | 76.65 / -2.6% | HEAD 198% | TAIL 7% | B/ATR nan
2007-09-12 | Bear | 78.3 / -0.2% | HEAD 1579% | TAIL 886% | B/ATR nan
2007-09-13 | Bear | 77.79 / -2.2% | HEAD 57% | TAIL 72% | B/ATR nan
2007-09-14 | Bull | 77.92 / 0.9% | HEAD 233% | TAIL 96% | B/ATR nan
2007-09-17 | Bear | 73.7 / -3.2% | HEAD 59% | TAIL 21% | B/ATR nan
2007-09-18 | Bear | 73.9 / -1.9% | HEAD 28% | TAIL 76% | B/ATR nan
2007-09-19 | Bull | 77.6 / 3.1% | HEAD 53% | TAIL 19% | B/ATR nan
2007-09-20 | Bear | 76.65 / -1.3% | HEAD 159% | TAIL 48% | B/ATR nan
2007-09-21 | Bull | 79.31 / 2.5% | HEAD 0% | TAIL 38% | B/ATR nan
2007-09-24 | Bull | 83.83 / 3.5% | HEAD 47% | TAIL 24% | B/ATR nan
2007-09-25 | Bull | 83.23 / 1.1% | HEAD 192% | TAIL 34% | B/ATR nan
2007-09-26 | Bear | 82.36 / -1.9% | HEAD 25% | TAIL 15% | B/ATR nan
2007-09-27 | Bull | 83.12 / 0.1% | HEAD 1329% | TAIL 1429% | B/ATR nan
2007-09-28 | Bull | 85.0 / 1.3% | HEAD 47% | TAIL 125% | B/ATR nan
2007-10-01 | Bull | 88.62 / 4.6% | HEAD 16% | TAIL 29% | B/ATR nan
2007-10-02 | Bull | 92.42 / 3.9% | HEAD 3% | TAIL 18% | B/ATR nan
2007-10-03 | Bear | 88.25 / -4.5% | HEAD 37% | TAIL 18% | B/ATR nan
2007-10-04 | Bull | 89.57 / 0.5% | HEAD 221% | TAIL 274% | B/ATR nan
2007-10-05 | Bear | 91.13 / -0.6% | HEAD 89% | TAIL 354% | B/ATR nan
2007-10-08 | Bull | 95.09 / 4.3% | HEAD 21% | TAIL 2% | B/ATR nan
2007-10-09 | Bull | 101.61 / 4.5% | HEAD 6% | TAIL 25% | B/ATR nan
2007-10-10 | Bull | 107.04 / 4.4% | HEAD 10% | TAIL 20% | B/ATR nan
2007-10-11 | Bear | 102.69 / -6.6% | HEAD 67% | TAIL 50% | B/ATR nan
2007-10-12 | Bear | 102.98 / -0.1% | HEAD 2827% | TAIL 3287% | B/ATR nan
2007-10-15 | Bear | 98.76 / -5.5% | HEAD 18% | TAIL 43% | B/ATR nan
2007-10-16 | Bull | 99.9 / 2.9% | HEAD 46% | TAIL 74% | B/ATR nan
2007-10-17 | Bull | 103.95 / 0.9% | HEAD 159% | TAIL 168% | B/ATR nan
2007-10-18 | Bear | 101.55 / -0.4% | HEAD 356% | TAIL 291% | B/ATR nan
2007-10-19 | Bear | 97.74 / -3.0% | HEAD 41% | TAIL 23% | B/ATR nan
2007-10-22 | Bull | 102.38 / 7.5% | HEAD 2% | TAIL 51% | B/ATR nan
2007-10-23 | Bull | 106.15 / 1.1% | HEAD 118% | TAIL 165% | B/ATR nan
2007-10-24 | Bear | 103.52 / -4.1% | HEAD 67% | TAIL 28% | B/ATR nan
2007-10-25 | Bull | 114.0 / 2.1% | HEAD 85% | TAIL 226% | B/ATR nan
2007-10-26 | Bear | 112.09 / -3.4% | HEAD 11% | TAIL 61% | B/ATR nan
2007-10-29 | Bull | 120.78 / 5.4% | HEAD 10% | TAIL 16% | B/ATR nan
2007-10-30 | Bull | 120.35 / 0.3% | HEAD 889% | TAIL 857% | B/ATR nan
2007-10-31 | Bull | 124.83 / 1.8% | HEAD 19% | TAIL 123% | B/ATR nan
2007-11-01 | Bear | 122.25 / -2.1% | HEAD 6% | TAIL 29% | B/ATR nan
