2015-02-10 | Bull | 39.3 / 6.2% | HEAD 77% | TAIL 1% | B/ATR nan
2015-02-11 | Bull | 41.44 / 4.3% | HEAD 63% | TAIL 15% | B/ATR nan
2015-02-12 | Bull | 43.0 / 1.2% | HEAD 74% | TAIL 90% | B/ATR nan
2015-02-13 | Bear | 41.02 / -5.2% | HEAD 51% | TAIL 49% | B/ATR nan
2015-02-17 | Bull | 43.26 / 7.7% | HEAD 3% | TAIL 18% | B/ATR nan
2015-02-18 | Bull | 45.0 / 3.6% | HEAD 99% | TAIL 22% | B/ATR nan
2015-02-19 | Bear | 43.88 / -1.4% | HEAD 106% | TAIL 13% | B/ATR nan
2015-02-20 | Bull | 45.64 / 4.3% | HEAD 4% | TAIL 16% | B/ATR nan
2015-02-23 | Bear | 44.82 / -0.5% | HEAD 257% | TAIL 143% | B/ATR nan
2015-02-24 | Bull | 44.98 / 1.1% | HEAD 55% | TAIL 196% | B/ATR nan
2015-02-25 | Bear | 44.51 / -0.5% | HEAD 104% | TAIL 101% | B/ATR nan
2015-02-26 | Bear | 44.45 / -0.8% | HEAD 57% | TAIL 111% | B/ATR nan
2015-02-27 | Bear | 43.66 / -1.0% | HEAD 84% | TAIL 116% | B/ATR nan
2015-03-02 | Bear | 42.93 / -0.9% | HEAD 308% | TAIL 92% | B/ATR nan
2015-03-03 | Bull | 43.0 / 0.2% | HEAD 627% | TAIL 100% | B/ATR nan
2015-03-04 | Bear | 43.48 / -0.6% | HEAD 56% | TAIL 207% | B/ATR nan
2015-03-05 | Bear | 42.59 / -1.4% | HEAD 53% | TAIL 14% | B/ATR nan
2015-03-06 | Bear | 41.01 / -3.5% | HEAD 6% | TAIL 113% | B/ATR nan
2015-03-09 | Bear | 39.56 / -3.5% | HEAD 0% | TAIL 9% | B/ATR nan
2015-03-10 | Bull | 39.35 / 0.8% | HEAD 56% | TAIL 163% | B/ATR nan
2015-03-11 | Bull | 40.48 / 3.3% | HEAD 41% | TAIL 0% | B/ATR nan
2015-03-12 | Bull | 40.42 / 2.2% | HEAD 106% | TAIL 6% | B/ATR nan
2015-03-13 | Bear | 40.15 / -1.1% | HEAD 63% | TAIL 93% | B/ATR nan
2015-03-16 | Bull | 42.0 / 5.1% | HEAD 4% | TAIL 5% | B/ATR nan
2015-03-17 | Bear | 41.48 / -1.2% | HEAD 67% | TAIL 40% | B/ATR nan
2015-03-18 | Bull | 42.42 / 2.2% | HEAD 64% | TAIL 18% | B/ATR nan
2015-03-19 | Bull | 43.14 / 2.3% | HEAD 25% | TAIL 0% | B/ATR nan
2015-03-20 | Bull | 43.96 / 1.5% | HEAD 57% | TAIL 0% | B/ATR nan
