2014-03-28 | Bull | 10.58 / 11.4% | HEAD 81% | TAIL 161% | B/ATR nan
2014-03-31 | Bull | 14.75 / 22.9% | HEAD 45% | TAIL 15% | B/ATR nan
2014-04-01 | Bear | 12.76 / -19.7% | HEAD 17% | TAIL 16% | B/ATR nan
2014-04-02 | Bull | 13.88 / 14.0% | HEAD 22% | TAIL 40% | B/ATR nan
2014-04-03 | Bear | 14.85 / -1.0% | HEAD 0% | TAIL 567% | B/ATR nan
2014-04-04 | Bear | 13.74 / -8.4% | HEAD 20% | TAIL 13% | B/ATR nan
2014-04-07 | Bear | 12.9 / -6.6% | HEAD 2% | TAIL 69% | B/ATR nan
2014-04-08 | Bear | 12.37 / -6.2% | HEAD 0% | TAIL 57% | B/ATR nan
2014-04-09 | Bear | 11.89 / -4.9% | HEAD 0% | TAIL 92% | B/ATR nan
2014-04-10 | Bull | 12.0 / 0.3% | HEAD 0% | TAIL 3933% | B/ATR nan
2014-04-11 | Bear | 11.0 / -7.7% | HEAD 0% | TAIL 0% | B/ATR nan
2014-04-14 | Bull | 11.38 / 1.6% | HEAD 100% | TAIL 72% | B/ATR nan
2014-04-15 | Bear | 10.99 / -6.5% | HEAD 0% | TAIL 53% | B/ATR nan
2014-04-16 | Bull | 11.16 / 0.5% | HEAD 433% | TAIL 710% | B/ATR nan
2014-04-17 | Bear | 11.3 / -1.6% | HEAD 139% | TAIL 167% | B/ATR nan
2014-04-21 | Bull | 12.33 / 2.9% | HEAD 63% | TAIL 166% | B/ATR nan
2014-04-22 | Bear | 11.61 / -7.1% | HEAD 44% | TAIL 29% | B/ATR nan
2014-04-23 | Bear | 11.49 / -4.2% | HEAD 0% | TAIL 22% | B/ATR nan
2014-04-24 | Bear | 11.39 / -2.6% | HEAD 0% | TAIL 39% | B/ATR nan
2014-04-25 | Bear | 11.39 / -1.0% | HEAD 355% | TAIL 345% | B/ATR nan
2014-04-28 | Bear | 10.7 / -4.6% | HEAD 0% | TAIL 65% | B/ATR nan
2014-04-29 | Bull | 10.685 / 0.8% | HEAD 535% | TAIL 118% | B/ATR nan
2014-04-30 | Bull | 10.53 / 0.3% | HEAD 600% | TAIL 500% | B/ATR nan
2014-05-01 | Bull | 13.0 / 26.2% | HEAD 6% | TAIL 0% | B/ATR nan
2014-05-02 | Bear | 12.25 / -7.7% | HEAD 6% | TAIL 97% | B/ATR nan
2014-05-05 | Bear | 12.19 / -1.7% | HEAD 0% | TAIL 257% | B/ATR nan
2014-05-06 | Bear | 11.59 / -3.4% | HEAD 90% | TAIL 80% | B/ATR nan
2014-05-07 | Bear | 10.75 / -5.7% | HEAD 37% | TAIL 36% | B/ATR nan
2014-05-08 | Bear | 10.66 / -0.3% | HEAD 2630% | TAIL 33% | B/ATR nan
2014-05-09 | Bull | 10.73 / 1.1% | HEAD 305% | TAIL 98% | B/ATR nan
2014-05-12 | Bull | 11.27 / 3.4% | HEAD 57% | TAIL 0% | B/ATR nan
2014-05-13 | Bull | 11.75 / 4.0% | HEAD 33% | TAIL 62% | B/ATR nan
2014-05-14 | Bear | 11.25 / -5.5% | HEAD 0% | TAIL 38% | B/ATR nan
2014-05-15 | Bull | 11.3988 / 2.0% | HEAD 153% | TAIL 0% | B/ATR nan
2014-05-16 | Bear | 11.26 / -3.2% | HEAD 0% | TAIL 16% | B/ATR nan
2014-05-19 | Bear | 10.85 / -3.1% | HEAD 57% | TAIL 29% | B/ATR nan
2014-05-20 | Bull | 10.82 / 0.2% | HEAD 1345% | TAIL 0% | B/ATR nan
2014-05-21 | Bull | 10.91 / 1.0% | HEAD 172% | TAIL 0% | B/ATR nan
2014-05-22 | Bear | 10.61 / -2.4% | HEAD 13% | TAIL 19% | B/ATR nan
2014-05-23 | Bull | 10.65 / 0.9% | HEAD 130% | TAIL 0% | B/ATR nan
2014-05-27 | Bear | 10.67 / -1.0% | HEAD 109% | TAIL 74% | B/ATR nan
2014-05-28 | Bull | 11.77 / 7.0% | HEAD 101% | TAIL 17% | B/ATR nan
2014-05-29 | Bull | 12.15 / 3.0% | HEAD 69% | TAIL 143% | B/ATR nan
2014-05-30 | Bear | 11.68 / -3.9% | HEAD 0% | TAIL 38% | B/ATR nan
2014-06-02 | Bull | 12.29 / 3.7% | HEAD 70% | TAIL 39% | B/ATR nan
2014-06-03 | Bull | 12.39 / 1.3% | HEAD 6% | TAIL 269% | B/ATR nan
2014-06-04 | Bear | 11.2 / -10.0% | HEAD 0% | TAIL 32% | B/ATR nan
2014-06-05 | Bull | 11.32 / 3.9% | HEAD 76% | TAIL 24% | B/ATR nan
2014-06-06 | Bear | 11.01 / -4.5% | HEAD 0% | TAIL 21% | B/ATR nan
2014-06-09 | Bull | 11.72 / 2.7% | HEAD 74% | TAIL 125% | B/ATR nan
2014-06-10 | Bull | 12.0 / 3.5% | HEAD 0% | TAIL 71% | B/ATR nan
2014-06-11 | Bear | 11.91 / -0.7% | HEAD 100% | TAIL 122% | B/ATR nan
2014-06-12 | Bull | 12.14 / 1.5% | HEAD 756% | TAIL 89% | B/ATR nan
2014-06-13 | Bull | 12.05 / 0.4% | HEAD 540% | TAIL 860% | B/ATR nan
2014-06-16 | Bear | 12.19 / -0.4% | HEAD 620% | TAIL 1020% | B/ATR nan
2014-06-17 | Bull | 14.0 / 12.0% | HEAD 25% | TAIL 19% | B/ATR nan
2014-06-18 | Bull | 14.0 / 1.8% | HEAD 132% | TAIL 100% | B/ATR nan
2014-06-19 | Bear | 13.43 / -4.1% | HEAD 21% | TAIL 58% | B/ATR nan
2014-06-20 | Bear | 13.04 / -3.4% | HEAD 126% | TAIL 9% | B/ATR nan
2014-06-23 | Bull | 13.61 / 0.9% | HEAD 308% | TAIL 217% | B/ATR nan
2014-06-24 | Bull | 14.69 / 7.7% | HEAD 68% | TAIL 22% | B/ATR nan
2014-06-25 | Bull | 15.45 / 5.7% | HEAD 48% | TAIL 7% | B/ATR nan
2014-06-26 | Bull | 15.57 / 0.8% | HEAD 358% | TAIL 525% | B/ATR nan
2014-06-27 | Bear | 15.5 / -0.3% | HEAD 0% | TAIL 960% | B/ATR nan
2014-06-30 | Bear | 15.12 / -2.5% | HEAD 89% | TAIL 95% | B/ATR nan
2014-07-01 | Bear | 14.41 / -5.3% | HEAD 6% | TAIL 20% | B/ATR nan
2014-07-02 | Bull | 14.6 / 0.7% | HEAD 320% | TAIL 481% | B/ATR nan
2014-07-03 | Bear | 14.45 / -0.7% | HEAD 200% | TAIL 280% | B/ATR nan
2014-07-07 | Bear | 13.69 / -5.3% | HEAD 19% | TAIL 25% | B/ATR nan
2014-07-08 | Bear | 12.48 / -9.6% | HEAD 4% | TAIL 17% | B/ATR nan
2014-07-09 | Bull | 12.77 / 2.5% | HEAD 52% | TAIL 148% | B/ATR nan
2014-07-10 | Bull | 13.99 / 9.3% | HEAD 39% | TAIL 0% | B/ATR nan
2014-07-11 | Bear | 13.23 / -5.5% | HEAD 9% | TAIL 39% | B/ATR nan
2014-07-14 | Bear | 13.33 / -0.3% | HEAD 1075% | TAIL 500% | B/ATR nan
2014-07-15 | Bear | 12.25 / -8.6% | HEAD 26% | TAIL 15% | B/ATR nan
2014-07-16 | Bear | 12.0 / -2.2% | HEAD 93% | TAIL 63% | B/ATR nan
2014-07-17 | Bull | 12.18 / 2.0% | HEAD 129% | TAIL 17% | B/ATR nan
2014-07-18 | Bear | 11.86 / -1.7% | HEAD 62% | TAIL 52% | B/ATR nan
2014-07-21 | Bull | 12.6 / 5.9% | HEAD 23% | TAIL 0% | B/ATR nan
2014-07-22 | Bear | 12.31 / -2.4% | HEAD 106% | TAIL 30% | B/ATR nan
2014-07-23 | Bull | 12.37 / 1.3% | HEAD 181% | TAIL 56% | B/ATR nan
2014-07-24 | Bull | 12.52 / 1.2% | HEAD 84% | TAIL 200% | B/ATR nan
2014-07-25 | Bull | 12.66 / 2.2% | HEAD 33% | TAIL 74% | B/ATR nan
2014-07-28 | Bull | 12.99 / 2.5% | HEAD 91% | TAIL 22% | B/ATR nan
2014-07-29 | Bull | 13.49 / 3.7% | HEAD 10% | TAIL 2% | B/ATR nan
2014-07-30 | Bear | 11.52 / -15.5% | HEAD 2% | TAIL 33% | B/ATR nan
2014-07-31 | Bull | 12.02 / 8.6% | HEAD 23% | TAIL 0% | B/ATR nan
2014-08-01 | Bear | 11.35 / -3.8% | HEAD 44% | TAIL 11% | B/ATR nan
2014-08-04 | Bull | 11.88 / 2.0% | HEAD 52% | TAIL 174% | B/ATR nan
2014-08-05 | Bull | 12.12 / 2.8% | HEAD 85% | TAIL 139% | B/ATR nan
2014-08-06 | Bear | 12.0 / -0.2% | HEAD 400% | TAIL 1250% | B/ATR nan
2014-08-07 | Bear | 11.8 / -1.7% | HEAD 0% | TAIL 140% | B/ATR nan
2014-08-08 | Bear | 11.51 / -1.5% | HEAD 159% | TAIL 65% | B/ATR nan
2014-08-11 | Bear | 11.32 / -4.9% | HEAD 0% | TAIL 2% | B/ATR nan
2014-08-12 | Bear | 11.16 / -3.0% | HEAD 97% | TAIL 12% | B/ATR nan
2014-08-13 | Bull | 11.3 / 1.3% | HEAD 87% | TAIL 27% | B/ATR nan
2014-08-14 | Bull | 11.84 / 5.5% | HEAD 37% | TAIL 2% | B/ATR nan
2014-08-15 | Bull | 11.96 / 1.1% | HEAD 31% | TAIL 400% | B/ATR nan
2014-08-18 | Bull | 12.4 / 4.3% | HEAD 18% | TAIL 33% | B/ATR nan
2014-08-19 | Bear | 12.1 / -3.1% | HEAD 67% | TAIL 0% | B/ATR 0.4
2014-08-20 | Bull | 12.4 / 2.9% | HEAD 6% | TAIL 40% | B/ATR 0.3
2014-08-21 | Bear | 12.31 / -1.1% | HEAD 343% | TAIL 79% | B/ATR 0.1
2014-08-22 | Bull | 12.38 / 1.9% | HEAD 52% | TAIL 0% | B/ATR 0.2
2014-08-25 | Bull | 12.31 / 0.9% | HEAD 100% | TAIL 45% | B/ATR 0.1
2014-08-26 | Bull | 12.42 / 1.6% | HEAD 411% | TAIL 5% | B/ATR 0.2
2014-08-27 | Bear | 12.3 / -1.2% | HEAD 353% | TAIL 33% | B/ATR 0.1
2014-08-28 | Bear | 12.21 / -0.7% | HEAD 333% | TAIL 233% | B/ATR 0.1
2014-08-29 | Bull | 12.252 / 0.5% | HEAD 835% | TAIL 48% | B/ATR 0.1
2014-09-02 | Bear | 11.78 / -5.5% | HEAD 0% | TAIL 12% | B/ATR 0.7
2014-09-03 | Bull | 11.95 / 1.4% | HEAD 112% | TAIL 35% | B/ATR 0.2
2014-09-04 | Bear | 11.63 / -1.9% | HEAD 60% | TAIL 57% | B/ATR 0.2
2014-09-05 | Bear | 10.01 / -13.3% | HEAD 14% | TAIL 31% | B/ATR 1.5
2014-09-08 | Bull | 10.99 / 2.2% | HEAD 25% | TAIL 187% | B/ATR 0.2
2014-09-09 | Bull | 12.87 / 17.2% | HEAD 5% | TAIL 21% | B/ATR 1.9
2014-09-10 | Bear | 12.03 / -7.5% | HEAD 31% | TAIL 55% | B/ATR 1.0
2014-09-11 | Bull | 12.17 / 0.2% | HEAD 2100% | TAIL 933% | B/ATR 0.0
2014-09-12 | Bull | 12.45 / 3.7% | HEAD 59% | TAIL 0% | B/ATR 0.4
2014-09-15 | Bear | 12.32 / -1.4% | HEAD 222% | TAIL 83% | B/ATR 0.2
2014-09-16 | Bear | 12.04 / -1.7% | HEAD 114% | TAIL 86% | B/ATR 0.2
2014-09-17 | Bear | 11.83 / -0.3% | HEAD 1450% | TAIL 75% | B/ATR 0.0
2014-09-18 | Bear | 11.33 / -5.6% | HEAD 38% | TAIL 18% | B/ATR 0.7
2014-09-19 | Bear | 11.07 / -1.2% | HEAD 462% | TAIL 246% | B/ATR 0.1
2014-09-22 | Bear | 10.01 / -8.6% | HEAD 3% | TAIL 53% | B/ATR 0.9
2014-09-23 | Bull | 10.67 / 9.4% | HEAD 9% | TAIL 15% | B/ATR 0.9
2014-09-24 | Bull | 10.94 / 2.5% | HEAD 89% | TAIL 0% | B/ATR 0.3
2014-09-25 | Bull | 11.22 / 4.7% | HEAD 12% | TAIL 66% | B/ATR 0.5
2014-09-26 | Bull | 11.94 / 6.4% | HEAD 7% | TAIL 100% | B/ATR 0.7
2014-09-29 | Bear | 11.69 / -1.1% | HEAD 0% | TAIL 254% | B/ATR 0.1
2014-09-30 | Bear | 11.34 / -3.7% | HEAD 14% | TAIL 20% | B/ATR 0.4
2014-10-01 | Bull | 11.46 / 0.4% | HEAD 0% | TAIL 370% | B/ATR 0.1
2014-10-02 | Bear | 11.18 / -3.2% | HEAD 0% | TAIL 49% | B/ATR 0.4
2014-10-03 | Bear | 11.16 / -0.8% | HEAD 389% | TAIL 178% | B/ATR 0.1
2014-10-06 | Bear | 10.78 / -2.7% | HEAD 90% | TAIL 93% | B/ATR 0.3
2014-10-07 | Bull | 11.06 / 2.1% | HEAD 78% | TAIL 96% | B/ATR 0.2
2014-10-08 | Bear | 10.91 / -0.5% | HEAD 740% | TAIL 390% | B/ATR 0.1
2014-10-09 | Bear | 10.36 / -5.1% | HEAD 45% | TAIL 43% | B/ATR 0.6
2014-10-10 | Bull | 10.18 / 0.0% | HEAD 3000% | TAIL 2545% | B/ATR 0.0
2014-10-13 | Bear | 9.5 / -5.6% | HEAD 0% | TAIL 0% | B/ATR 0.6
2014-10-14 | Bull | 9.63 / 3.3% | HEAD 70% | TAIL 103% | B/ATR 0.3
2014-10-15 | Bull | 9.51 / 2.6% | HEAD 4% | TAIL 0% | B/ATR 0.2
2014-10-16 | Bull | 9.85 / 4.8% | HEAD 78% | TAIL 63% | B/ATR 0.5
2014-10-17 | Bull | 9.9 / 0.0% | HEAD 4900% | TAIL 1496% | B/ATR 0.0
2014-10-20 | Bull | 10.15 / 2.0% | HEAD 25% | TAIL 0% | B/ATR 0.2
2014-10-21 | Bear | 10.1624 / -1.3% | HEAD 36% | TAIL 9% | B/ATR 0.1
2014-10-22 | Bull | 10.35 / 1.0% | HEAD 150% | TAIL 270% | B/ATR 0.1
2014-10-23 | Bear | 9.76 / -7.0% | HEAD 27% | TAIL 14% | B/ATR 0.8
2014-10-24 | Bull | 9.87 / 0.6% | HEAD 350% | TAIL 183% | B/ATR 0.1
2014-10-27 | Bear | 9.86 / -0.5% | HEAD 260% | TAIL 520% | B/ATR 0.1
2014-10-28 | Bear | 9.68 / -2.3% | HEAD 0% | TAIL 187% | B/ATR 0.2
2014-10-29 | Bull | 10.0 / 2.9% | HEAD 282% | TAIL 79% | B/ATR 0.3
2014-10-30 | Bear | 9.61 / -3.2% | HEAD 81% | TAIL 3% | B/ATR 0.3
2014-10-31 | Bull | 9.8 / 0.3% | HEAD 1233% | TAIL 567% | B/ATR 0.0
2014-11-03 | Bull | 9.85 / 1.0% | HEAD 250% | TAIL 140% | B/ATR 0.1
