2000-01-03 | Bear | 36.06 / -7.8% | HEAD 4% | TAIL 2% | B/ATR nan
2000-01-04 | Bull | 35.75 / 1.8% | HEAD 317% | TAIL 38% | B/ATR nan
2000-01-05 | Bull | 36.5 / 3.5% | HEAD 40% | TAIL 20% | B/ATR nan
2000-01-06 | Bull | 37.62 / 4.5% | HEAD 16% | TAIL 7% | B/ATR nan
2000-01-07 | Bull | 38.62 / 1.8% | HEAD 56% | TAIL 47% | B/ATR nan
2000-01-10 | Bull | 39.56 / 2.1% | HEAD 23% | TAIL 116% | B/ATR nan
2000-01-11 | Bull | 40.06 / 0.5% | HEAD 106% | TAIL 556% | B/ATR nan
2000-01-12 | Bear | 37.81 / -5.5% | HEAD 5% | TAIL 5% | B/ATR nan
2000-01-13 | Bull | 39.25 / 2.6% | HEAD 87% | TAIL 13% | B/ATR nan
2000-01-14 | Bull | 40.38 / 1.0% | HEAD 279% | TAIL 163% | B/ATR nan
2000-01-18 | Bull | 42.5 / 3.4% | HEAD 32% | TAIL 9% | B/ATR nan
2000-01-19 | Bear | 42.0 / -1.2% | HEAD 162% | TAIL 38% | B/ATR nan
2000-01-20 | Bear | 41.19 / -1.9% | HEAD 23% | TAIL 109% | B/ATR nan
2000-01-21 | Bull | 42.0 / 0.3% | HEAD 417% | TAIL 733% | B/ATR nan
2000-01-24 | Bear | 39.44 / -6.1% | HEAD 2% | TAIL 12% | B/ATR nan
2000-01-25 | Bear | 39.06 / -2.2% | HEAD 107% | TAIL 77% | B/ATR nan
2000-01-26 | Bear | 38.69 / -3.0% | HEAD 94% | TAIL 42% | B/ATR nan
2000-01-27 | Bear | 37.81 / -2.4% | HEAD 180% | TAIL 6% | B/ATR nan
2000-01-28 | Bear | 36.69 / -2.3% | HEAD 187% | TAIL 79% | B/ATR nan
2000-01-31 | Bull | 37.56 / 3.6% | HEAD 15% | TAIL 0% | B/ATR nan
2000-02-01 | Bull | 39.88 / 5.3% | HEAD 0% | TAIL 4% | B/ATR nan
2000-02-02 | Bull | 40.0 / 0.0% | HEAD 15000% | TAIL 6900% | B/ATR nan
2000-02-03 | Bear | 38.44 / -4.4% | HEAD 0% | TAIL 11% | B/ATR nan
2000-02-04 | Bear | 37.94 / -1.5% | HEAD 145% | TAIL 11% | B/ATR nan
2000-02-07 | Bull | 39.31 / 2.9% | HEAD 6% | TAIL 39% | B/ATR nan
2000-02-08 | Bear | 37.94 / -2.2% | HEAD 93% | TAIL 94% | B/ATR nan
2000-02-09 | Bear | 37.25 / -4.5% | HEAD 14% | TAIL 25% | B/ATR nan
2000-02-10 | Bull | 39.44 / 3.1% | HEAD 68% | TAIL 31% | B/ATR nan
2000-02-11 | Bear | 38.56 / -2.8% | HEAD 111% | TAIL 27% | B/ATR nan
2000-02-14 | Bull | 42.25 / 5.6% | HEAD 8% | TAIL 42% | B/ATR nan
2000-02-15 | Bull | 43.12 / 0.9% | HEAD 135% | TAIL 203% | B/ATR nan
2000-02-16 | Bull | 44.88 / 2.9% | HEAD 10% | TAIL 49% | B/ATR nan
2000-02-17 | Bear | 43.62 / -1.7% | HEAD 8% | TAIL 172% | B/ATR nan
2000-02-18 | Bear | 41.12 / -5.5% | HEAD 13% | TAIL 5% | B/ATR nan
2000-02-22 | Bear | 40.38 / -1.8% | HEAD 186% | TAIL 26% | B/ATR nan
2000-02-23 | Bear | 39.62 / -1.0% | HEAD 197% | TAIL 16% | B/ATR nan
2000-02-24 | Bull | 40.5 / 2.2% | HEAD 135% | TAIL 14% | B/ATR nan
2000-02-25 | Bull | 41.0 / 0.6% | HEAD 552% | TAIL 252% | B/ATR nan
2000-02-28 | Bull | 42.0 / 3.1% | HEAD 45% | TAIL 30% | B/ATR nan
2000-02-29 | Bull | 43.14 / 1.5% | HEAD 291% | TAIL 0% | B/ATR nan
2000-03-01 | Bull | 48.0 / 6.7% | HEAD 0% | TAIL 33% | B/ATR nan
2000-03-02 | Bull | 49.0 / 1.4% | HEAD 235% | TAIL 45% | B/ATR nan
2000-03-03 | Bear | 47.44 / -3.2% | HEAD 0% | TAIL 88% | B/ATR nan
2000-03-06 | Bull | 50.5 / 5.2% | HEAD 0% | TAIL 10% | B/ATR nan
2000-03-07 | Bull | 52.44 / 4.4% | HEAD 94% | TAIL 3% | B/ATR nan
2000-03-08 | Bear | 47.75 / -5.7% | HEAD 0% | TAIL 0% | B/ATR nan
2000-03-09 | Bull | 49.88 / 2.8% | HEAD 0% | TAIL 136% | B/ATR nan
2000-03-10 | Bull | 50.94 / 3.2% | HEAD 196% | TAIL 32% | B/ATR nan
2000-03-13 | Bull | 50.62 / 0.2% | HEAD 2242% | TAIL 208% | B/ATR nan
2000-03-14 | Bull | 52.06 / 2.7% | HEAD 28% | TAIL 96% | B/ATR nan
2000-03-15 | Bear | 50.5 / -3.5% | HEAD 66% | TAIL 10% | B/ATR nan
2000-03-16 | Bull | 54.88 / 8.7% | HEAD 3% | TAIL 26% | B/ATR nan
2000-03-17 | Bear | 53.38 / -2.8% | HEAD 28% | TAIL 28% | B/ATR nan
2000-03-20 | Bull | 52.5 / 0.0% | HEAD 600% | TAIL 26200% | B/ATR nan
2000-03-21 | Bear | 52.75 / -0.5% | HEAD 500% | TAIL 652% | B/ATR nan
2000-03-22 | Bull | 55.5 / 1.8% | HEAD 150% | TAIL 56% | B/ATR nan
