2000-01-03 | Bear | 66.81 / -2.3% | HEAD 39% | TAIL 83% | B/ATR nan
2000-01-04 | Bear | 64.31 / -1.8% | HEAD 26% | TAIL 10% | B/ATR nan
2000-01-05 | Bear | 62.81 / -1.7% | HEAD 47% | TAIL 58% | B/ATR nan
2000-01-06 | Bull | 63.69 / 1.1% | HEAD 126% | TAIL 45% | B/ATR nan
2000-01-07 | Bull | 68.5 / 6.2% | HEAD 11% | TAIL 0% | B/ATR nan
2000-01-10 | Bull | 67.25 / 0.0% | HEAD 2500% | TAIL 16200% | B/ATR nan
2000-01-11 | Bear | 66.25 / -1.2% | HEAD 85% | TAIL 77% | B/ATR nan
2000-01-12 | Bear | 65.06 / -1.7% | HEAD 50% | TAIL 0% | B/ATR nan
2000-01-13 | Bear | 65.13 / -1.3% | HEAD 15% | TAIL 15% | B/ATR nan
2000-01-14 | Bull | 64.5 / 0.8% | HEAD 288% | TAIL 0% | B/ATR nan
2000-01-18 | Bull | 65.56 / 3.8% | HEAD 37% | TAIL 5% | B/ATR nan
2000-01-19 | Bear | 64.06 / -1.8% | HEAD 47% | TAIL 5% | B/ATR nan
2000-01-20 | Bear | 63.38 / -1.6% | HEAD 6% | TAIL 83% | B/ATR nan
2000-01-21 | Bear | 62.44 / -2.3% | HEAD 0% | TAIL 25% | B/ATR nan
2000-01-24 | Bear | 59.38 / -6.4% | HEAD 0% | TAIL 46% | B/ATR nan
2000-01-25 | Bull | 61.13 / 2.2% | HEAD 5% | TAIL 23% | B/ATR nan
2000-01-26 | Bull | 61.94 / 1.3% | HEAD 15% | TAIL 140% | B/ATR nan
2000-01-27 | Bear | 59.13 / -3.6% | HEAD 9% | TAIL 57% | B/ATR nan
2000-01-28 | Bear | 55.13 / -6.4% | HEAD 0% | TAIL 43% | B/ATR nan
2000-01-31 | Bull | 54.75 / 0.3% | HEAD 395% | TAIL 226% | B/ATR nan
2000-02-01 | Bull | 58.69 / 6.7% | HEAD 22% | TAIL 2% | B/ATR nan
2000-02-02 | Bear | 58.38 / -0.8% | HEAD 162% | TAIL 88% | B/ATR nan
2000-02-03 | Bull | 58.38 / 0.0% | HEAD 4300% | TAIL 21300% | B/ATR nan
2000-02-04 | Bear | 56.31 / -2.8% | HEAD 0% | TAIL 19% | B/ATR nan
2000-02-07 | Bear | 55.75 / -1.6% | HEAD 0% | TAIL 127% | B/ATR nan
2000-02-08 | Bull | 59.5 / 3.8% | HEAD 9% | TAIL 20% | B/ATR nan
2000-02-09 | Bear | 57.81 / -3.6% | HEAD 6% | TAIL 23% | B/ATR nan
2000-02-10 | Bear | 57.0 / -1.1% | HEAD 119% | TAIL 30% | B/ATR nan
2000-02-11 | Bear | 56.06 / -2.4% | HEAD 4% | TAIL 31% | B/ATR nan
2000-02-14 | Bull | 58.88 / 3.9% | HEAD 0% | TAIL 9% | B/ATR nan
2000-02-15 | Bull | 58.0 / 1.9% | HEAD 0% | TAIL 183% | B/ATR nan
2000-02-16 | Bear | 52.75 / -6.6% | HEAD 0% | TAIL 2% | B/ATR nan
2000-02-17 | Bear | 48.38 / -8.6% | HEAD 12% | TAIL 8% | B/ATR nan
2000-02-18 | Bear | 47.75 / -1.5% | HEAD 133% | TAIL 67% | B/ATR nan
2000-02-22 | Bear | 48.13 / -2.3% | HEAD 5% | TAIL 123% | B/ATR nan
2000-02-23 | Bear | 47.0 / -3.0% | HEAD 4% | TAIL 17% | B/ATR nan
2000-02-24 | Bull | 47.88 / 1.9% | HEAD 0% | TAIL 405% | B/ATR nan
2000-02-25 | Bull | 44.5 / 0.4% | HEAD 426% | TAIL 358% | B/ATR nan
2000-02-28 | Bull | 46.19 / 3.7% | HEAD 46% | TAIL 0% | B/ATR nan
2000-02-29 | Bull | 48.75 / 1.7% | HEAD 123% | TAIL 0% | B/ATR nan
2000-03-01 | Bear | 49.0 / -1.8% | HEAD 14% | TAIL 170% | B/ATR nan
2000-03-02 | Bear | 50.56 / -4.2% | HEAD 6% | TAIL 5% | B/ATR nan
2000-03-03 | Bull | 52.63 / 1.0% | HEAD 136% | TAIL 126% | B/ATR nan
2000-03-06 | Bear | 50.5 / -4.0% | HEAD 3% | TAIL 88% | B/ATR nan
2000-03-07 | Bear | 47.56 / -4.2% | HEAD 0% | TAIL 21% | B/ATR nan
2000-03-08 | Bull | 48.31 / 2.1% | HEAD 100% | TAIL 168% | B/ATR nan
2000-03-09 | Bear | 48.94 / -0.1% | HEAD 733% | TAIL 3433% | B/ATR nan
2000-03-10 | Bear | 47.94 / -3.6% | HEAD 0% | TAIL 28% | B/ATR nan
2000-03-13 | Bull | 47.69 / 3.1% | HEAD 17% | TAIL 26% | B/ATR nan
2000-03-14 | Bull | 47.75 / 1.6% | HEAD 141% | TAIL 92% | B/ATR nan
2000-03-15 | Bull | 51.5 / 8.6% | HEAD 11% | TAIL 22% | B/ATR nan
2000-03-16 | Bull | 54.63 / 4.4% | HEAD 40% | TAIL 29% | B/ATR nan
2000-03-17 | Bull | 55.75 / 2.2% | HEAD 42% | TAIL 36% | B/ATR nan
2000-03-20 | Bear | 55.13 / -1.2% | HEAD 0% | TAIL 257% | B/ATR nan
2000-03-21 | Bull | 56.63 / 2.1% | HEAD 0% | TAIL 79% | B/ATR nan
2000-03-22 | Bear | 55.38 / -2.0% | HEAD 0% | TAIL 123% | B/ATR nan
2000-03-23 | Bear | 54.0 / -0.7% | HEAD 47% | TAIL 132% | B/ATR nan
2000-03-24 | Bull | 55.5 / 1.9% | HEAD 18% | TAIL 42% | B/ATR nan
2000-03-27 | Bull | 55.44 / 1.4% | HEAD 8% | TAIL 59% | B/ATR nan
2000-03-28 | Bear | 54.5 / -0.1% | HEAD 2300% | TAIL 0% | B/ATR nan
2000-03-29 | Bull | 58.75 / 5.9% | HEAD 19% | TAIL 2% | B/ATR nan
2000-03-30 | Bear | 59.0 / -1.3% | HEAD 133% | TAIL 16% | B/ATR nan
2000-03-31 | Bear | 56.5 / -4.6% | HEAD 2% | TAIL 36% | B/ATR nan
2000-04-03 | Bull | 61.19 / 8.1% | HEAD 18% | TAIL 0% | B/ATR nan
2000-04-04 | Bear | 60.0 / -2.7% | HEAD 96% | TAIL 148% | B/ATR nan
2000-04-05 | Bear | 58.25 / -1.8% | HEAD 77% | TAIL 65% | B/ATR nan
2000-04-06 | Bull | 61.13 / 3.4% | HEAD 6% | TAIL 19% | B/ATR nan
2000-04-07 | Bull | 61.5 / 0.4% | HEAD 200% | TAIL 248% | B/ATR nan
2000-04-10 | Bull | 63.56 / 3.3% | HEAD 6% | TAIL 24% | B/ATR nan
2000-04-11 | Bull | 63.38 / 0.8% | HEAD 24% | TAIL 276% | B/ATR nan
2000-04-12 | Bear | 62.44 / -1.6% | HEAD 150% | TAIL 38% | B/ATR nan
2000-04-13 | Bear | 60.06 / -3.6% | HEAD 0% | TAIL 25% | B/ATR nan
2000-04-14 | Bear | 55.0 / -5.2% | HEAD 31% | TAIL 0% | B/ATR nan
2000-04-17 | Bear | 54.0 / -2.0% | HEAD 111% | TAIL 199% | B/ATR nan
2000-04-18 | Bear | 53.88 / -0.2% | HEAD 1925% | TAIL 625% | B/ATR nan
2000-04-19 | Bull | 54.94 / 1.5% | HEAD 69% | TAIL 47% | B/ATR nan
2000-04-20 | Bull | 57.69 / 4.6% | HEAD 10% | TAIL 0% | B/ATR nan
2000-04-24 | Bull | 58.88 / 1.6% | HEAD 186% | TAIL 47% | B/ATR nan
2000-04-25 | Bull | 59.69 / 2.8% | HEAD 65% | TAIL 31% | B/ATR nan
2000-04-26 | Bear | 58.75 / -2.4% | HEAD 39% | TAIL 31% | B/ATR nan
2000-04-27 | Bull | 57.69 / 0.1% | HEAD 1250% | TAIL 1883% | B/ATR nan
2000-04-28 | Bear | 55.38 / -2.5% | HEAD 35% | TAIL 0% | B/ATR nan
2000-05-01 | Bull | 57.94 / 2.8% | HEAD 56% | TAIL 12% | B/ATR nan
2000-05-02 | Bull | 57.63 / 0.6% | HEAD 56% | TAIL 194% | B/ATR nan
2000-05-03 | Bear | 53.44 / -1.5% | HEAD 31% | TAIL 85% | B/ATR nan
2000-05-04 | Bear | 51.0 / -5.5% | HEAD 0% | TAIL 19% | B/ATR nan
2000-05-05 | Bull | 51.31 / 2.2% | HEAD 140% | TAIL 0% | B/ATR nan
2000-05-08 | Bull | 52.38 / 2.2% | HEAD 0% | TAIL 155% | B/ATR nan
2000-05-09 | Bear | 53.0 / -2.5% | HEAD 36% | TAIL 36% | B/ATR nan
2000-05-10 | Bull | 56.69 / 6.1% | HEAD 14% | TAIL 14% | B/ATR nan
2000-05-11 | Bear | 56.0 / -1.7% | HEAD 13% | TAIL 106% | B/ATR nan
2000-05-12 | Bull | 56.81 / 1.9% | HEAD 36% | TAIL 42% | B/ATR nan
2000-05-15 | Bull | 57.0 / 1.3% | HEAD 41% | TAIL 100% | B/ATR nan
2000-05-16 | Bull | 58.0 / 1.0% | HEAD 189% | TAIL 45% | B/ATR nan
2000-05-17 | Bear | 56.38 / -0.5% | HEAD 19% | TAIL 303% | B/ATR nan
2000-05-18 | Bull | 57.94 / 3.0% | HEAD 0% | TAIL 4% | B/ATR nan
2000-05-19 | Bull | 57.06 / 1.7% | HEAD 182% | TAIL 0% | B/ATR nan
2000-05-22 | Bear | 57.38 / -0.5% | HEAD 0% | TAIL 384% | B/ATR nan
2000-05-23 | Bear | 57.19 / -0.6% | HEAD 222% | TAIL 103% | B/ATR nan
2000-05-24 | Bull | 56.88 / 3.0% | HEAD 7% | TAIL 153% | B/ATR 0.6
2000-05-25 | Bear | 55.0 / -1.5% | HEAD 109% | TAIL 116% | B/ATR 0.3
2000-05-26 | Bear | 54.0 / -0.5% | HEAD 300% | TAIL 348% | B/ATR 0.1
2000-05-30 | Bull | 53.38 / 0.6% | HEAD 234% | TAIL 116% | B/ATR 0.1
2000-05-31 | Bull | 57.63 / 5.0% | HEAD 86% | TAIL 14% | B/ATR 0.9
2000-06-01 | Bear | 57.0 / -0.2% | HEAD 431% | TAIL 577% | B/ATR 0.0
2000-06-02 | Bull | 59.06 / 0.3% | HEAD 556% | TAIL 456% | B/ATR 0.1
2000-06-05 | Bull | 59.31 / 0.0% | HEAD 4400% | TAIL 5600% | B/ATR 0.0
2000-06-06 | Bear | 58.25 / -1.0% | HEAD 0% | TAIL 89% | B/ATR 0.2
