2001-01-03 | Bull | 58.44 / 9.2% | HEAD 6% | TAIL 11% | B/ATR 2.2
2002-07-24 | Bull | 47.94 / 8.2% | HEAD 5% | TAIL 16% | B/ATR 2.4
2002-08-14 | Bull | 52.62 / 6.6% | HEAD 9% | TAIL 6% | B/ATR 2.0
2003-03-17 | Bull | 51.97 / 5.0% | HEAD 0% | TAIL 6% | B/ATR 1.6
2004-05-10 | Bull | 55.22 / 3.2% | HEAD 8% | TAIL 0% | B/ATR 1.7
2004-11-04 | Bull | 56.26 / 3.6% | HEAD 5% | TAIL 6% | B/ATR 2.1
2005-10-31 | Bull | 47.31 / 2.6% | HEAD 20% | TAIL 9% | B/ATR 1.7
2006-05-15 | Bull | 47.43 / 2.6% | HEAD 11% | TAIL 11% | B/ATR 1.7
2006-10-04 | Bull | 49.55 / 2.6% | HEAD 5% | TAIL 15% | B/ATR 1.6
2006-12-26 | Bull | 46.11 / 2.9% | HEAD 14% | TAIL 0% | B/ATR 1.6
2007-04-20 | Bull | 49.76 / 2.4% | HEAD 7% | TAIL 7% | B/ATR 1.5
2007-08-06 | Bull | 47.02 / 2.9% | HEAD 2% | TAIL 0% | B/ATR 1.8
2008-01-22 | Bull | 49.2042 / 6.2% | HEAD 11% | TAIL 8% | B/ATR 3.0
2008-01-23 | Bull | 50.16 / 3.6% | HEAD 11% | TAIL 6% | B/ATR 1.8
2008-02-07 | Bull | 49.84 / 3.8% | HEAD 9% | TAIL 9% | B/ATR 1.8
2008-03-20 | Bull | 53.23 / 4.5% | HEAD 11% | TAIL 7% | B/ATR 2.2
2008-07-08 | Bull | 59.11 / 3.4% | HEAD 9% | TAIL 13% | B/ATR 1.8
2008-10-28 | Bull | 55.17 / 8.3% | HEAD 13% | TAIL 3% | B/ATR 2.6
2008-11-26 | Bull | 56.69 / 5.4% | HEAD 2% | TAIL 4% | B/ATR 1.5
2008-12-05 | Bull | 58.21 / 7.2% | HEAD 13% | TAIL 7% | B/ATR 2.0
2010-07-20 | Bull | 50.88 / 3.3% | HEAD 9% | TAIL 0% | B/ATR 2.1
2011-08-18 | Bull | 51.79 / 2.5% | HEAD 13% | TAIL 16% | B/ATR 1.8
2011-11-08 | Bull | 59.32 / 2.2% | HEAD 6% | TAIL 13% | B/ATR 1.5
2012-06-08 | Bull | 68.22 / 3.1% | HEAD 0% | TAIL 5% | B/ATR 2.5
2013-03-04 | Bull | 73.26 / 2.4% | HEAD 0% | TAIL 1% | B/ATR 1.9
2014-09-24 | Bull | 77.08 / 1.8% | HEAD 17% | TAIL 2% | B/ATR 1.7
2014-11-13 | Bull | 82.94 / 2.4% | HEAD 6% | TAIL 5% | B/ATR 2.3
2015-01-07 | Bull | 88.6 / 2.1% | HEAD 4% | TAIL 6% | B/ATR 1.8
2016-01-07 | Bull | 65.03 / 3.3% | HEAD 10% | TAIL 2% | B/ATR 1.9
2016-12-12 | Bull | 71.67 / 2.3% | HEAD 7% | TAIL 3% | B/ATR 1.6
2017-09-05 | Bull | 79.8 / 2.4% | HEAD 5% | TAIL 3% | B/ATR 1.9
2017-11-16 | Bull | 99.62 / 4.7% | HEAD 1% | TAIL 9% | B/ATR 4.2
2018-02-06 | Bull | 100.9 / 3.3% | HEAD 6% | TAIL 12% | B/ATR 2.5
