2012-07-23 | Bull | 1.55 / 3.3% | HEAD 0% | TAIL 0% | B/ATR nan
2012-07-24 | Bear | 1.5 / -3.2% | HEAD 0% | TAIL 0% | B/ATR nan
2012-07-25 | Bull | 1.53 / 0.0% | HEAD 0% | TAIL 300% | B/ATR nan
2012-07-26 | Bull | 1.55 / 3.3% | HEAD 0% | TAIL 100% | B/ATR nan
2012-07-27 | Bear | 1.55 / -3.1% | HEAD 0% | TAIL 0% | B/ATR nan
2012-07-30 | Bear | 1.48 / -4.5% | HEAD 0% | TAIL 29% | B/ATR nan
2012-07-31 | Bear | 1.4 / -5.4% | HEAD 25% | TAIL 0% | B/ATR nan
2012-08-01 | Bull | 1.57 / 12.1% | HEAD 0% | TAIL 0% | B/ATR nan
2012-08-02 | Bear | 1.43 / -8.9% | HEAD 0% | TAIL 0% | B/ATR nan
2012-08-03 | Bear | 1.41 / -1.4% | HEAD 350% | TAIL 50% | B/ATR nan
2012-08-06 | Bear | 1.35 / -4.3% | HEAD 0% | TAIL 0% | B/ATR nan
2012-08-07 | Bear | 1.32 / -5.7% | HEAD 0% | TAIL 25% | B/ATR nan
2012-08-08 | Bear | 1.28 / -1.5% | HEAD 100% | TAIL 50% | B/ATR nan
2012-08-09 | Bull | 1.3 / 0.0% | HEAD 600% | TAIL 0% | B/ATR nan
2012-08-10 | Bull | 1.39 / 3.7% | HEAD 20% | TAIL 0% | B/ATR nan
2012-08-13 | Bull | 1.4 / 1.4% | HEAD 100% | TAIL 0% | B/ATR nan
2012-08-14 | Bear | 1.4 / -2.1% | HEAD 0% | TAIL 267% | B/ATR nan
2012-08-15 | Bear | 1.36 / -3.5% | HEAD 40% | TAIL 0% | B/ATR nan
2012-08-16 | Bull | 1.36 / 0.0% | HEAD 400% | TAIL 0% | B/ATR nan
2012-08-17 | Bull | 1.36 / 0.0% | HEAD 200% | TAIL 0% | B/ATR nan
2012-08-20 | Bear | 1.27 / -6.6% | HEAD 0% | TAIL 11% | B/ATR nan
2012-08-21 | Bull | 1.27 / 0.8% | HEAD 300% | TAIL 0% | B/ATR nan
2012-08-22 | Bull | 1.32 / 3.9% | HEAD 20% | TAIL 40% | B/ATR nan
2012-08-23 | Bull | 1.33 / 1.5% | HEAD 0% | TAIL 200% | B/ATR nan
2012-08-24 | Bull | 1.34 / 0.8% | HEAD 0% | TAIL 700% | B/ATR nan
2012-08-27 | Bear | 1.31 / -2.2% | HEAD 33% | TAIL 33% | B/ATR nan
2012-08-28 | Bull | 1.31 / 0.0% | HEAD 0% | TAIL 300% | B/ATR nan
2012-08-29 | Bull | 1.3 / 4.0% | HEAD 0% | TAIL 0% | B/ATR nan
2012-08-30 | Bull | 1.29 / 0.8% | HEAD 200% | TAIL 0% | B/ATR nan
2012-08-31 | Bull | 1.29 / 1.6% | HEAD 100% | TAIL 0% | B/ATR nan
2012-09-04 | Bear | 1.23 / -3.9% | HEAD 40% | TAIL 60% | B/ATR nan
2012-09-05 | Bull | 1.21 / 0.8% | HEAD 0% | TAIL 500% | B/ATR nan
2012-09-06 | Bear | 1.11 / -5.1% | HEAD 0% | TAIL 50% | B/ATR nan
2012-09-07 | Bull | 1.12 / 6.7% | HEAD 0% | TAIL 57% | B/ATR nan
2012-09-10 | Bull | 1.06 / 5.0% | HEAD 120% | TAIL 0% | B/ATR nan
2012-09-11 | Bull | 1.05 / 1.0% | HEAD 100% | TAIL 300% | B/ATR nan
2012-09-12 | Bull | 1.05 / 4.0% | HEAD 0% | TAIL 0% | B/ATR nan
2012-09-13 | Bull | 1.05 / 4.0% | HEAD 0% | TAIL 0% | B/ATR nan
2012-09-14 | Bull | 1.09 / 7.9% | HEAD 0% | TAIL 0% | B/ATR nan
2012-09-17 | Bull | 1.05 / 2.9% | HEAD 133% | TAIL 33% | B/ATR nan
2012-09-18 | Bull | 1.1 / 7.8% | HEAD 0% | TAIL 0% | B/ATR nan
2012-09-19 | Bull | 1.2 / 10.1% | HEAD 82% | TAIL 45% | B/ATR nan
2012-09-20 | Bear | 1.28 / -0.8% | HEAD 100% | TAIL 1000% | B/ATR nan
2012-09-21 | Bear | 1.12 / -13.8% | HEAD 0% | TAIL 0% | B/ATR nan
2012-09-24 | Bull | 1.3 / 16.1% | HEAD 0% | TAIL 0% | B/ATR nan
2012-09-25 | Bear | 1.17 / -2.5% | HEAD 167% | TAIL 0% | B/ATR nan
2012-09-26 | Bull | 1.2 / 2.6% | HEAD 0% | TAIL 0% | B/ATR nan
2012-09-27 | Bull | 1.25 / 4.2% | HEAD 80% | TAIL 0% | B/ATR nan
2012-09-28 | Bull | 1.3 / 0.8% | HEAD 0% | TAIL 400% | B/ATR nan
2012-10-01 | Bear | 1.22 / -6.2% | HEAD 0% | TAIL 25% | B/ATR nan
2012-10-02 | Bear | 1.16 / -3.3% | HEAD 50% | TAIL 0% | B/ATR nan
2012-10-03 | Bull | 1.16 / 0.0% | HEAD 200% | TAIL 0% | B/ATR nan
2012-10-04 | Bull | 1.17 / 0.9% | HEAD 0% | TAIL 0% | B/ATR nan
2012-10-05 | Bear | 1.15 / -1.7% | HEAD 50% | TAIL 50% | B/ATR nan
2012-10-08 | Bear | 1.14 / -0.9% | HEAD 100% | TAIL 0% | B/ATR nan
2012-10-09 | Bear | 1.05 / -7.9% | HEAD 0% | TAIL 0% | B/ATR nan
2012-10-10 | Bull | 1.08 / 1.9% | HEAD 0% | TAIL 0% | B/ATR nan
2012-10-11 | Bull | 1.1 / 1.9% | HEAD 0% | TAIL 0% | B/ATR nan
