2013-04-15 | Bull | 1.64 / 10.1% | HEAD 0% | TAIL 7% | B/ATR 1.6
2013-05-15 | Bull | 2.18 / 16.6% | HEAD 13% | TAIL 19% | B/ATR 3.0
2013-10-18 | Bull | 2.2 / 10.0% | HEAD 10% | TAIL 0% | B/ATR 1.7
2014-01-21 | Bull | 2.81 / 10.2% | HEAD 0% | TAIL 0% | B/ATR 1.7
2014-09-05 | Bull | 1.45 / 25.0% | HEAD 17% | TAIL 0% | B/ATR 2.6
2014-09-08 | Bull | 1.45 / 25.0% | HEAD 17% | TAIL 0% | B/ATR 2.6
2015-03-04 | Bull | 1.78 / 11.2% | HEAD 11% | TAIL 0% | B/ATR 1.7
2015-03-05 | Bull | 2.09 / 17.1% | HEAD 3% | TAIL 2% | B/ATR 2.9
2015-04-09 | Bull | 2.35 / 10.8% | HEAD 17% | TAIL 9% | B/ATR 1.9
2015-06-25 | Bull | 2.12 / 10.4% | HEAD 0% | TAIL 7% | B/ATR 1.8
2015-08-03 | Bull | 3.46 / 23.6% | HEAD 12% | TAIL 5% | B/ATR 6.4
2015-08-10 | Bull | 3.03 / 11.6% | HEAD 19% | TAIL 14% | B/ATR 2.9
2015-08-18 | Bull | 3.47 / 8.4% | HEAD 11% | TAIL 19% | B/ATR 2.3
2015-08-19 | Bull | 3.82 / 8.1% | HEAD 4% | TAIL 2% | B/ATR 2.4
2015-12-10 | Bull | 3.35 / 9.8% | HEAD 17% | TAIL 0% | B/ATR 2.0
2016-02-29 | Bull | 3.67 / 12.9% | HEAD 19% | TAIL 2% | B/ATR 1.9
2016-03-01 | Bull | 4.37 / 15.6% | HEAD 6% | TAIL 5% | B/ATR 2.7
2016-07-26 | Bull | 3.29 / 10.6% | HEAD 3% | TAIL 17% | B/ATR 1.8
2016-09-01 | Bull | 3.1399 / 9.8% | HEAD 14% | TAIL 4% | B/ATR 1.5
2016-09-06 | Bull | 3.76 / 13.6% | HEAD 2% | TAIL 2% | B/ATR 2.4
2016-09-07 | Bull | 4.15 / 10.1% | HEAD 3% | TAIL 0% | B/ATR 2.1
2017-02-13 | Bull | 3.9 / 9.9% | HEAD 14% | TAIL 9% | B/ATR 2.1
2017-05-17 | Bull | 3.28 / 18.0% | HEAD 12% | TAIL 6% | B/ATR 3.2
2017-07-24 | Bull | 2.95 / 8.1% | HEAD 0% | TAIL 14% | B/ATR 1.6
2017-08-02 | Bull | 3.23 / 16.2% | HEAD 4% | TAIL 0% | B/ATR 3.2
2017-08-29 | Bull | 4.0 / 7.8% | HEAD 14% | TAIL 10% | B/ATR 2.0
2017-08-30 | Bull | 4.66 / 13.7% | HEAD 7% | TAIL 9% | B/ATR 3.8
2017-09-05 | Bull | 5.09 / 6.0% | HEAD 0% | TAIL 14% | B/ATR 1.9
2017-10-02 | Bull | 4.24 / 8.4% | HEAD 3% | TAIL 18% | B/ATR 1.8
2017-12-01 | Bull | 5.04 / 6.3% | HEAD 0% | TAIL 0% | B/ATR 1.5
2017-12-20 | Bull | 5.75 / 5.5% | HEAD 0% | TAIL 13% | B/ATR 1.5
2017-12-21 | Bull | 7.05 / 22.6% | HEAD 4% | TAIL 0% | B/ATR 6.5
2017-12-27 | Bull | 10.25 / 12.8% | HEAD 13% | TAIL 0% | B/ATR 5.6
2018-01-18 | Bull | 6.76 / 12.7% | HEAD 14% | TAIL 18% | B/ATR 2.6
2018-01-23 | Bull | 7.27 / 11.2% | HEAD 18% | TAIL 3% | B/ATR 2.4
2018-02-13 | Bull | 8.0 / 12.2% | HEAD 10% | TAIL 0% | B/ATR 2.3
