2000-01-03 | Bull | 4.625 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2000-01-04 | Bear | 4.625 / -1.3% | HEAD 0% | TAIL 0% | B/ATR nan
2000-01-05 | Bear | 4.375 / -2.8% | HEAD 100% | TAIL 0% | B/ATR nan
2000-01-06 | Bull | 4.75 / 5.6% | HEAD 25% | TAIL 0% | B/ATR nan
2000-01-07 | Bull | 4.875 / 2.6% | HEAD 0% | TAIL 0% | B/ATR nan
2000-01-10 | Bull | 5.0 / 3.9% | HEAD 0% | TAIL 67% | B/ATR nan
2000-01-11 | Bull | 5.0 / 0.0% | HEAD 1880% | TAIL 1870% | B/ATR nan
2000-01-12 | Bear | 4.75 / -9.5% | HEAD 0% | TAIL 25% | B/ATR nan
2000-01-13 | Bear | 4.938 / -0.6% | HEAD 1513% | TAIL 606% | B/ATR nan
2000-01-14 | Bear | 5.0 / -2.4% | HEAD 100% | TAIL 100% | B/ATR nan
2000-01-18 | Bear | 4.969 / -1.9% | HEAD 0% | TAIL 0% | B/ATR nan
2000-01-19 | Bull | 5.0 / 0.0% | HEAD 0% | TAIL 310% | B/ATR nan
2000-01-20 | Bull | 5.0 / 0.0% | HEAD 0% | TAIL 1250% | B/ATR nan
2000-01-21 | Bull | 5.0 / 0.0% | HEAD 630% | TAIL 5000% | B/ATR nan
2000-01-24 | Bull | 5.0 / 2.6% | HEAD 0% | TAIL 0% | B/ATR nan
2000-01-25 | Bull | 5.0 / 0.0% | HEAD 0% | TAIL 620% | B/ATR nan
2000-01-26 | Bull | 5.125 / 3.8% | HEAD 0% | TAIL 0% | B/ATR nan
2000-01-27 | Bull | 5.0 / 0.0% | HEAD 0% | TAIL 620% | B/ATR nan
2000-01-28 | Bear | 4.938 / -2.5% | HEAD 0% | TAIL 0% | B/ATR nan
2000-01-31 | Bull | 5.0 / 1.3% | HEAD 0% | TAIL 0% | B/ATR nan
2000-02-01 | Bull | 5.0 / 0.0% | HEAD 0% | TAIL 310% | B/ATR nan
2000-02-02 | Bear | 4.938 / -0.6% | HEAD 0% | TAIL 0% | B/ATR nan
2000-02-03 | Bull | 5.0 / 1.3% | HEAD 0% | TAIL 0% | B/ATR nan
2000-02-04 | Bull | 5.063 / 1.3% | HEAD 0% | TAIL 49% | B/ATR nan
2000-02-07 | Bull | 5.063 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2000-02-08 | Bull | 5.125 / 0.0% | HEAD 1250% | TAIL 1250% | B/ATR nan
2000-02-09 | Bear | 5.0 / -0.3% | HEAD 294% | TAIL 1169% | B/ATR nan
2000-02-10 | Bull | 5.063 / 1.3% | HEAD 49% | TAIL 0% | B/ATR nan
2000-02-11 | Bull | 5.0 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2000-02-14 | Bull | 5.063 / 1.3% | HEAD 0% | TAIL 0% | B/ATR nan
2000-02-15 | Bull | 5.125 / 2.5% | HEAD 50% | TAIL 0% | B/ATR nan
2000-02-16 | Bull | 5.063 / 1.3% | HEAD 198% | TAIL 0% | B/ATR nan
