2000-12-28 | Bull | 5.438 / 7.1% | HEAD 0% | TAIL 13% | B/ATR 2.7
2001-01-03 | Bull | 5.75 / 9.5% | HEAD 0% | TAIL 0% | B/ATR 3.8
2001-03-26 | Bull | 6.67 / 5.9% | HEAD 8% | TAIL 0% | B/ATR 2.1
2001-04-24 | Bull | 6.98 / 8.2% | HEAD 0% | TAIL 0% | B/ATR 3.0
2001-05-23 | Bull | 7.7 / 5.5% | HEAD 12% | TAIL 0% | B/ATR 2.1
2001-05-29 | Bull | 8.66 / 5.9% | HEAD 0% | TAIL 15% | B/ATR 2.5
2001-06-22 | Bull | 8.11 / 6.7% | HEAD 16% | TAIL 10% | B/ATR 2.0
2001-07-09 | Bull | 8.91 / 5.8% | HEAD 6% | TAIL 0% | B/ATR 1.7
2001-08-13 | Bull | 9.82 / 5.7% | HEAD 0% | TAIL 8% | B/ATR 1.6
2002-04-23 | Bull | 7.92 / 9.2% | HEAD 10% | TAIL 0% | B/ATR 2.4
2002-04-30 | Bull | 8.9 / 8.5% | HEAD 14% | TAIL 7% | B/ATR 2.5
2003-05-14 | Bull | 11.7 / 8.8% | HEAD 15% | TAIL 0% | B/ATR 3.1
2003-05-19 | Bull | 11.95 / 9.6% | HEAD 4% | TAIL 0% | B/ATR 3.4
2003-07-28 | Bull | 15.28 / 8.8% | HEAD 12% | TAIL 2% | B/ATR 2.5
2003-11-06 | Bull | 20.18 / 9.1% | HEAD 4% | TAIL 17% | B/ATR 2.4
2004-01-02 | Bull | 22.25 / 11.0% | HEAD 7% | TAIL 6% | B/ATR 2.5
2004-01-20 | Bull | 24.4 / 6.0% | HEAD 7% | TAIL 20% | B/ATR 1.5
2004-01-29 | Bull | 21.66 / 9.6% | HEAD 5% | TAIL 14% | B/ATR 2.0
2004-08-20 | Bull | 22.9 / 6.1% | HEAD 8% | TAIL 8% | B/ATR 1.7
2004-11-03 | Bull | 24.55 / 6.0% | HEAD 0% | TAIL 17% | B/ATR 1.7
2005-01-25 | Bull | 27.18 / 5.6% | HEAD 8% | TAIL 16% | B/ATR 1.8
2005-01-26 | Bull | 28.65 / 4.6% | HEAD 3% | TAIL 2% | B/ATR 1.5
2005-04-04 | Bull | 25.56 / 5.9% | HEAD 13% | TAIL 0% | B/ATR 1.6
2005-06-28 | Bull | 29.06 / 5.1% | HEAD 14% | TAIL 11% | B/ATR 1.6
2005-10-19 | Bull | 26.05 / 7.6% | HEAD 3% | TAIL 11% | B/ATR 2.1
2006-01-10 | Bull | 29.87 / 6.1% | HEAD 1% | TAIL 0% | B/ATR 1.9
