2011-01-26 | Bull | 1.3 / 0.0% | HEAD 0% | TAIL 2000% | B/ATR nan
2011-01-27 | Bear | 1.25 / -3.8% | HEAD 0% | TAIL 0% | B/ATR nan
2011-01-28 | Bull | 1.3 / 8.3% | HEAD 0% | TAIL 0% | B/ATR nan
2011-01-31 | Bear | 1.25 / -3.8% | HEAD 0% | TAIL 0% | B/ATR nan
2011-02-01 | Bull | 1.3 / 1.6% | HEAD 0% | TAIL 0% | B/ATR nan
2011-02-02 | Bear | 1.28 / -1.5% | HEAD 0% | TAIL 0% | B/ATR nan
2011-02-03 | Bull | 1.32 / 2.3% | HEAD 0% | TAIL 0% | B/ATR nan
2011-02-04 | Bear | 1.28 / -3.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-02-07 | Bull | 1.28 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-02-08 | Bull | 1.32 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-02-09 | Bull | 1.32 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-02-10 | Bull | 1.32 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-02-11 | Bull | 1.32 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-02-14 | Bull | 1.34 / 1.5% | HEAD 0% | TAIL 0% | B/ATR nan
2011-02-15 | Bull | 1.34 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-02-16 | Bull | 1.34 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-02-17 | Bull | 1.34 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-02-18 | Bull | 1.34 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-02-22 | Bull | 1.36 / 0.7% | HEAD 0% | TAIL 0% | B/ATR nan
2011-02-23 | Bull | 1.36 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-02-24 | Bull | 1.36 / 0.7% | HEAD 0% | TAIL 0% | B/ATR nan
2011-02-25 | Bull | 1.38 / 1.5% | HEAD 0% | TAIL 0% | B/ATR nan
2011-02-28 | Bull | 1.4 / 1.4% | HEAD 0% | TAIL 0% | B/ATR nan
2011-03-01 | Bull | 1.4 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-03-02 | Bull | 1.4 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-03-03 | Bull | 1.4 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-03-04 | Bull | 1.41 / 0.7% | HEAD 0% | TAIL 0% | B/ATR nan
2011-03-07 | Bull | 1.41 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-03-08 | Bull | 1.41 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-03-09 | Bull | 1.41 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-03-10 | Bull | 1.41 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-03-11 | Bull | 1.4 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-03-14 | Bull | 1.4 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-03-15 | Bull | 1.39 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-03-16 | Bull | 1.39 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-03-17 | Bull | 1.39 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-03-18 | Bull | 1.39 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-03-21 | Bull | 1.39 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-03-22 | Bear | 1.25 / -3.8% | HEAD 0% | TAIL 0% | B/ATR nan
2011-03-23 | Bull | 1.25 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-03-24 | Bull | 1.12 / 0.0% | HEAD 0% | TAIL 1100% | B/ATR nan
2011-03-25 | Bull | 1.2 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-03-28 | Bull | 1.2 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-03-29 | Bull | 1.2 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-03-30 | Bull | 1.2 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-03-31 | Bull | 1.2 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-04-01 | Bull | 1.2 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-04-04 | Bull | 1.2 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-04-05 | Bull | 1.2 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-04-06 | Bull | 1.25 / 4.2% | HEAD 0% | TAIL 0% | B/ATR nan
2011-04-07 | Bull | 1.25 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-04-08 | Bull | 1.25 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-04-11 | Bull | 1.25 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-04-12 | Bull | 1.25 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-04-13 | Bull | 1.25 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-04-14 | Bull | 1.25 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-04-15 | Bull | 1.25 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-04-18 | Bull | 1.25 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-04-19 | Bull | 1.25 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-04-20 | Bull | 1.25 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-04-21 | Bull | 1.25 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-04-25 | Bull | 1.25 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-04-26 | Bull | 1.25 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-04-27 | Bull | 1.25 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-04-28 | Bull | 1.25 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-04-29 | Bull | 1.2 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-05-02 | Bull | 1.2 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-05-03 | Bull | 1.25 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-05-04 | Bull | 1.25 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-05-05 | Bull | 1.25 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-05-06 | Bull | 1.25 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-05-09 | Bull | 1.25 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-05-10 | Bull | 1.25 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-05-11 | Bull | 1.25 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-05-12 | Bull | 1.25 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-05-13 | Bull | 1.15 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-05-16 | Bull | 1.25 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-05-17 | Bull | 1.25 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-05-18 | Bear | 1.2 / -4.0% | HEAD 0% | TAIL 200% | B/ATR nan
2011-05-19 | Bull | 1.25 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-05-20 | Bull | 1.25 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-05-23 | Bull | 1.25 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-05-24 | Bull | 1.21 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-05-25 | Bull | 1.16 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-05-26 | Bear | 1.15 / -0.9% | HEAD 0% | TAIL 0% | B/ATR nan
2011-05-27 | Bull | 1.11 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-05-31 | Bull | 1.22 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-06-01 | Bull | 1.22 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-06-02 | Bull | 1.25 / 2.5% | HEAD 0% | TAIL 0% | B/ATR nan
2011-06-03 | Bull | 1.25 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-06-06 | Bull | 1.25 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-06-07 | Bull | 1.25 / 0.0% | HEAD 0% | TAIL 0% | B/ATR nan
2011-06-08 | Bear | 1.21 / -3.2% | HEAD 0% | TAIL 0% | B/ATR nan
