2011-07-18 | Bull | 1.25 / 4.2% | HEAD 0% | TAIL 0% | B/ATR 2.5
2011-08-08 | Bull | 1.19 / 17.8% | HEAD 0% | TAIL 0% | B/ATR 6.4
2011-11-10 | Bull | 1.0 / 25.0% | HEAD 0% | TAIL 0% | B/ATR 3.8
2011-11-28 | Bull | 0.99 / 64.7% | HEAD 0% | TAIL 0% | B/ATR 6.9
2012-01-04 | Bull | 0.4 / 50.9% | HEAD 0% | TAIL 0% | B/ATR 2.2
2012-01-11 | Bull | 0.51 / 54.5% | HEAD 0% | TAIL 6% | B/ATR 3.0
2012-01-23 | Bull | 0.45 / 28.6% | HEAD 0% | TAIL 0% | B/ATR 1.6
2012-02-15 | Bull | 0.72 / 26.3% | HEAD 0% | TAIL 0% | B/ATR 2.4
2012-03-19 | Bull | 0.619 / 23.8% | HEAD 0% | TAIL 0% | B/ATR 1.7
2012-03-23 | Bull | 0.59 / 136.0% | HEAD 0% | TAIL 0% | B/ATR 4.9
2012-04-03 | Bull | 0.62 / 24.0% | HEAD 0% | TAIL 0% | B/ATR 1.7
2012-04-30 | Bull | 1.1 / 20.9% | HEAD 16% | TAIL 16% | B/ATR 2.6
2012-07-25 | Bull | 0.52 / 48.6% | HEAD 0% | TAIL 0% | B/ATR 2.3
2012-08-03 | Bull | 0.5 / 42.9% | HEAD 0% | TAIL 0% | B/ATR 2.0
2012-08-16 | Bull | 0.45 / 80.0% | HEAD 0% | TAIL 0% | B/ATR 2.7
2012-10-22 | Bull | 0.29 / 65.7% | HEAD 0% | TAIL 0% | B/ATR 1.7
2012-12-05 | Bull | 0.45 / 50.0% | HEAD 0% | TAIL 0% | B/ATR 2.7
2012-12-14 | Bull | 0.69 / 50.0% | HEAD 0% | TAIL 0% | B/ATR 4.1
2013-01-04 | Bull | 0.725 / 21.8% | HEAD 12% | TAIL 0% | B/ATR 2.2
2013-12-20 | Bull | 1.88 / 10.6% | HEAD 0% | TAIL 0% | B/ATR 1.9
2014-01-10 | Bull | 2.39 / 19.5% | HEAD 8% | TAIL 13% | B/ATR 3.9
2014-02-11 | Bull | 3.01 / 9.5% | HEAD 8% | TAIL 1% | B/ATR 2.2
2014-02-20 | Bull | 3.69 / 6.6% | HEAD 0% | TAIL 9% | B/ATR 1.8
2014-03-07 | Bull | 5.13 / 7.9% | HEAD 19% | TAIL 1% | B/ATR 2.5
2014-03-25 | Bull | 3.22 / 18.4% | HEAD 18% | TAIL 0% | B/ATR 2.4
2015-10-19 | Bull | 1.38 / 19.0% | HEAD 9% | TAIL 5% | B/ATR 2.3
2016-08-15 | Bull | 1.02 / 10.6% | HEAD 10% | TAIL 0% | B/ATR 1.5
2016-08-16 | Bull | 1.12 / 12.0% | HEAD 17% | TAIL 0% | B/ATR 1.9
2016-12-05 | Bull | 1.1 / 17.0% | HEAD 0% | TAIL 9% | B/ATR 1.9
2017-03-29 | Bull | 1.2 / 10.1% | HEAD 0% | TAIL 18% | B/ATR 1.5
2017-06-06 | Bull | 1.64 / 11.6% | HEAD 6% | TAIL 6% | B/ATR 2.3
2017-06-07 | Bull | 1.84 / 12.9% | HEAD 5% | TAIL 0% | B/ATR 2.8
2017-07-28 | Bull | 1.75 / 20.7% | HEAD 7% | TAIL 3% | B/ATR 3.4
2017-08-04 | Bull | 2.47 / 22.9% | HEAD 15% | TAIL 11% | B/ATR 5.0
2017-09-08 | Bull | 2.5 / 10.1% | HEAD 0% | TAIL 13% | B/ATR 1.9
2017-09-13 | Bull | 3.01 / 11.5% | HEAD 16% | TAIL 6% | B/ATR 2.5
2018-01-02 | Bull | 3.21 / 11.5% | HEAD 3% | TAIL 3% | B/ATR 1.9
2018-01-18 | Bull | 3.82 / 10.7% | HEAD 8% | TAIL 0% | B/ATR 2.0
2018-02-06 | Bull | 2.89 / 18.0% | HEAD 10% | TAIL 9% | B/ATR 2.1
